pc_id,pc_name,ac_id,ac_name,Serial No. Of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total of Valid Votes,No. Of Rejected Votes (Test Votes),Votes for NOTA option,Total,No. Of tender votes
21,Koraput,145,Jeypore,142,,,,,,,,171.0,13.0,283.0,104.0,25.0,27.0,623.0,0,76.0,699.0,0
21,Koraput,145,Jeypore,143,,,,,,,,104.0,16.0,93.0,317.0,9.0,9.0,548.0,0,8.0,556.0,0
21,Koraput,145,Jeypore,144,,,,,,,,434.0,27.0,237.0,132.0,8.0,7.0,845.0,0,4.0,849.0,0
21,Koraput,145,Jeypore,145,,,,,,,,239.0,14.0,229.0,254.0,10.0,4.0,750.0,0,11.0,761.0,0
21,Koraput,145,Jeypore,146,,,,,,,,190.0,6.0,341.0,85.0,7.0,8.0,637.0,0,16.0,653.0,0
21,Koraput,145,Jeypore,147,,,,,,,,83.0,5.0,209.0,49.0,11.0,6.0,363.0,0,13.0,376.0,0
21,Koraput,145,Jeypore,148,,,,,,,,239.0,22.0,343.0,198.0,24.0,24.0,850.0,0,35.0,885.0,0
21,Koraput,145,Jeypore,149,,,,,,,,319.0,17.0,326.0,72.0,21.0,13.0,768.0,0,14.0,782.0,0
21,Koraput,145,Jeypore,150,,,,,,,,451.0,6.0,198.0,62.0,8.0,3.0,728.0,0,9.0,737.0,0
21,Koraput,145,Jeypore,151,,,,,,,,402.0,20.0,307.0,215.0,7.0,6.0,957.0,0,25.0,982.0,0
21,Koraput,145,Jeypore,152,,,,,,,,326.0,7.0,235.0,117.0,14.0,23.0,722.0,0,10.0,732.0,0
21,Koraput,145,Jeypore,153,,,,,,,,199.0,8.0,517.0,82.0,6.0,7.0,819.0,0,9.0,828.0,0
21,Koraput,145,Jeypore,154,,,,,,,,476.0,16.0,210.0,90.0,12.0,14.0,818.0,0,28.0,846.0,0
21,Koraput,145,Jeypore,155,,,,,,,,319.0,19.0,146.0,41.0,9.0,10.0,544.0,0,12.0,556.0,0
21,Koraput,145,Jeypore,156,,,,,,,,312.0,6.0,102.0,10.0,6.0,10.0,446.0,0,14.0,460.0,0
21,Koraput,145,Jeypore,157,,,,,,,,265.0,9.0,75.0,32.0,0.0,5.0,386.0,0,24.0,410.0,0
21,Koraput,145,Jeypore,158,,,,,,,,143.0,5.0,149.0,139.0,6.0,3.0,445.0,0,10.0,455.0,0
21,Koraput,145,Jeypore,159,,,,,,,,234.0,12.0,171.0,39.0,16.0,8.0,480.0,0,18.0,498.0,0
21,Koraput,145,Jeypore,160,,,,,,,,407.0,9.0,278.0,49.0,4.0,8.0,755.0,0,9.0,764.0,0
21,Koraput,145,Jeypore,161,,,,,,,,280.0,23.0,387.0,141.0,20.0,15.0,866.0,0,57.0,923.0,0
21,Koraput,145,Jeypore,162,,,,,,,,267.0,19.0,108.0,56.0,8.0,15.0,473.0,0,12.0,485.0,0
21,Koraput,145,Jeypore,163,,,,,,,,92.0,27.0,234.0,95.0,22.0,65.0,535.0,0,27.0,562.0,0
21,Koraput,145,Jeypore,164,,,,,,,,332.0,20.0,63.0,110.0,18.0,28.0,571.0,0,55.0,626.0,0
21,Koraput,145,Jeypore,165,,,,,,,,63.0,9.0,55.0,322.0,28.0,54.0,531.0,0,7.0,538.0,0
21,Koraput,145,Jeypore,166,,,,,,,,99.0,41.0,25.0,168.0,28.0,121.0,482.0,0,68.0,550.0,0
21,Koraput,145,Jeypore,167,,,,,,,,157.0,17.0,206.0,51.0,10.0,17.0,458.0,0,47.0,505.0,0
21,Koraput,145,Jeypore,168,,,,,,,,139.0,13.0,224.0,160.0,12.0,71.0,619.0,0,21.0,640.0,0
21,Koraput,145,Jeypore,169,,,,,,,,450.0,23.0,59.0,97.0,4.0,7.0,640.0,0,14.0,654.0,0
21,Koraput,145,Jeypore,170,,,,,,,,173.0,9.0,106.0,29.0,7.0,107.0,431.0,0,1.0,432.0,0
21,Koraput,145,Jeypore,171,,,,,,,,96.0,15.0,222.0,41.0,9.0,11.0,394.0,0,28.0,422.0,0
21,Koraput,145,Jeypore,172,,,,,,,,219.0,20.0,195.0,47.0,8.0,4.0,493.0,0,17.0,510.0,0
21,Koraput,145,Jeypore,173,,,,,,,,131.0,30.0,88.0,88.0,28.0,45.0,410.0,0,21.0,431.0,0
21,Koraput,145,Jeypore,174,,,,,,,,113.0,23.0,452.0,158.0,43.0,33.0,822.0,0,40.0,862.0,0
21,Koraput,145,Jeypore,175,,,,,,,,229.0,29.0,215.0,99.0,32.0,48.0,652.0,0,74.0,726.0,0
21,Koraput,145,Jeypore,176,,,,,,,,373.0,17.0,123.0,90.0,14.0,7.0,624.0,0,24.0,648.0,0
21,Koraput,145,Jeypore,177,,,,,,,,35.0,7.0,139.0,28.0,0.0,14.0,223.0,0,7.0,230.0,0
21,Koraput,145,Jeypore,178,,,,,,,,91.0,24.0,420.0,46.0,26.0,73.0,680.0,0,12.0,692.0,0
21,Koraput,145,Jeypore,179,,,,,,,,223.0,13.0,93.0,74.0,8.0,5.0,416.0,0,19.0,435.0,0
21,Koraput,145,Jeypore,180,,,,,,,,250.0,24.0,188.0,77.0,10.0,12.0,561.0,0,35.0,596.0,0
21,Koraput,145,Jeypore,181,,,,,,,,301.0,31.0,124.0,129.0,11.0,7.0,603.0,0,7.0,610.0,0
21,Koraput,145,Jeypore,182,,,,,,,,129.0,6.0,567.0,53.0,12.0,26.0,793.0,0,32.0,825.0,0
21,Koraput,145,Jeypore,183,,,,,,,,107.0,21.0,170.0,112.0,23.0,15.0,448.0,0,14.0,462.0,0
21,Koraput,145,Jeypore,184,,,,,,,,173.0,27.0,124.0,150.0,14.0,28.0,516.0,0,58.0,574.0,0
21,Koraput,145,Jeypore,185,,,,,,,,88.0,8.0,466.0,52.0,9.0,6.0,629.0,0,8.0,637.0,0
21,Koraput,145,Jeypore,186,,,,,,,,251.0,16.0,545.0,92.0,25.0,11.0,940.0,0,34.0,974.0,0
21,Koraput,145,Jeypore,187,,,,,,,,65.0,25.0,339.0,317.0,8.0,8.0,762.0,0,26.0,788.0,0
21,Koraput,145,Jeypore,188,,,,,,,,112.0,12.0,176.0,101.0,10.0,11.0,422.0,0,26.0,448.0,0
21,Koraput,145,Jeypore,189,,,,,,,,207.0,10.0,372.0,146.0,16.0,12.0,763.0,0,25.0,788.0,0
21,Koraput,145,Jeypore,190,,,,,,,,253.0,2.0,314.0,152.0,2.0,2.0,725.0,0,2.0,727.0,0
21,Koraput,145,Jeypore,191,,,,,,,,72.0,16.0,98.0,110.0,19.0,24.0,339.0,0,55.0,394.0,0
21,Koraput,145,Jeypore,192,,,,,,,,232.0,18.0,261.0,56.0,6.0,10.0,583.0,0,22.0,605.0,0
21,Koraput,145,Jeypore,193,,,,,,,,423.0,16.0,144.0,212.0,6.0,6.0,807.0,0,7.0,814.0,0
21,Koraput,145,Jeypore,194,,,,,,,,76.0,11.0,172.0,82.0,8.0,6.0,355.0,0,9.0,364.0,0
21,Koraput,145,Jeypore,195,,,,,,,,236.0,18.0,207.0,44.0,46.0,109.0,660.0,0,70.0,730.0,0
21,Koraput,145,Jeypore,196,,,,,,,,30.0,7.0,188.0,56.0,16.0,6.0,303.0,0,17.0,320.0,0
21,Koraput,145,Jeypore,197,,,,,,,,31.0,4.0,177.0,40.0,10.0,10.0,272.0,0,6.0,278.0,0
21,Koraput,145,Jeypore,198,,,,,,,,39.0,7.0,182.0,36.0,26.0,11.0,301.0,0,35.0,336.0,0
21,Koraput,145,Jeypore,199,,,,,,,,159.0,14.0,110.0,72.0,12.0,12.0,379.0,0,23.0,402.0,0
21,Koraput,145,Jeypore,200,,,,,,,,248.0,7.0,257.0,75.0,3.0,3.0,593.0,0,22.0,615.0,0
21,Koraput,145,Jeypore,201,,,,,,,,225.0,17.0,63.0,37.0,23.0,15.0,380.0,0,42.0,422.0,0
21,Koraput,145,Jeypore,202,,,,,,,,183.0,12.0,154.0,89.0,5.0,14.0,457.0,0,17.0,474.0,0
21,Koraput,145,Jeypore,203,,,,,,,,167.0,4.0,230.0,60.0,12.0,20.0,493.0,0,31.0,524.0,0
21,Koraput,145,Jeypore,204,,,,,,,,208.0,33.0,110.0,134.0,13.0,29.0,527.0,0,42.0,569.0,0
21,Koraput,145,Jeypore,205,,,,,,,,355.0,24.0,374.0,39.0,23.0,23.0,838.0,0,37.0,875.0,0
21,Koraput,145,Jeypore,206,,,,,,,,292.0,14.0,203.0,82.0,11.0,7.0,609.0,0,18.0,627.0,0
21,Koraput,145,Jeypore,207,,,,,,,,159.0,7.0,347.0,24.0,1.0,9.0,547.0,0,5.0,552.0,0
21,Koraput,145,Jeypore,208,,,,,,,,89.0,7.0,320.0,51.0,25.0,15.0,507.0,0,57.0,564.0,0
21,Koraput,145,Jeypore,209,,,,,,,,29.0,7.0,104.0,75.0,10.0,7.0,232.0,0,24.0,256.0,0
21,Koraput,145,Jeypore,210,,,,,,,,107.0,13.0,193.0,146.0,7.0,10.0,476.0,0,22.0,498.0,0
21,Koraput,145,Jeypore,211,,,,,,,,180.0,18.0,399.0,151.0,21.0,20.0,789.0,0,20.0,809.0,0
21,Koraput,145,Jeypore,212,,,,,,,,273.0,20.0,102.0,39.0,11.0,11.0,456.0,0,26.0,482.0,0
21,Koraput,145,Jeypore,213,,,,,,,,92.0,6.0,108.0,18.0,8.0,23.0,255.0,0,43.0,298.0,0
21,Koraput,145,Jeypore,214,,,,,,,,144.0,10.0,159.0,16.0,13.0,21.0,363.0,0,116.0,479.0,0
21,Koraput,145,Jeypore,215,,,,,,,,143.0,18.0,170.0,27.0,19.0,15.0,392.0,0,22.0,414.0,0
21,Koraput,145,Jeypore,216,,,,,,,,99.0,17.0,406.0,29.0,15.0,15.0,581.0,0,45.0,626.0,0
21,Koraput,145,Jeypore,217,,,,,,,,203.0,47.0,310.0,221.0,36.0,28.0,845.0,0,49.0,894.0,0
21,Koraput,145,Jeypore,218,,,,,,,,116.0,8.0,446.0,23.0,12.0,8.0,613.0,0,14.0,627.0,0
21,Koraput,145,Jeypore,219,,,,,,,,299.0,22.0,197.0,140.0,13.0,17.0,688.0,0,63.0,751.0,0
21,Koraput,145,Jeypore,220,,,,,,,,12.0,8.0,275.0,35.0,18.0,16.0,364.0,0,28.0,392.0,0
21,Koraput,145,Jeypore,221,,,,,,,,87.0,7.0,217.0,19.0,10.0,15.0,355.0,0,45.0,400.0,0
21,Koraput,145,Jeypore,222,,,,,,,,170.0,21.0,190.0,153.0,19.0,15.0,568.0,0,49.0,617.0,0
