pc_id,pc_name,ac_id,ac_name,PS No,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Total of Valid Votes,No. of rejected votes( Test votes),None of the Above (NOTA),Total,No. of Tendered votes
7,Bhadrak,43,Soro,104,,,,,,,,354,440,221,5,0,3,1,0,0,0,1024,0,1,1025,0
7,Bhadrak,43,Soro,105,,,,,,,,322,290,217,5,2,1,2,0,3,6,848,0,5,853,0
7,Bhadrak,43,Soro,106,,,,,,,,143,223,43,1,1,1,0,1,0,0,413,0,0,413,0
7,Bhadrak,43,Soro,107,,,,,,,,191,228,211,3,1,1,0,0,0,0,635,0,1,636,0
7,Bhadrak,43,Soro,108,,,,,,,,155,379,268,4,1,1,2,1,0,2,813,0,4,817,0
7,Bhadrak,43,Soro,109,,,,,,,,303,362,221,0,2,1,0,2,3,10,904,0,2,906,0
7,Bhadrak,43,Soro,110,,,,,,,,166,397,230,3,0,2,1,1,2,0,802,0,1,803,0
7,Bhadrak,43,Soro,111,,,,,,,,231,363,299,2,1,1,1,1,0,1,900,0,3,903,0
7,Bhadrak,43,Soro,112,,,,,,,,99,280,167,1,0,0,0,0,0,2,549,0,4,553,0
7,Bhadrak,43,Soro,113,,,,,,,,237,315,257,0,0,0,0,0,0,0,809,0,4,813,0
7,Bhadrak,43,Soro,114,,,,,,,,150,153,200,2,0,0,1,0,0,0,506,0,0,506,0
7,Bhadrak,43,Soro,115,,,,,,,,387,480,152,4,1,1,1,0,2,1,1029,0,5,1034,0
7,Bhadrak,43,Soro,116,,,,,,,,269,443,227,5,7,1,0,0,1,9,962,0,1,963,0
7,Bhadrak,43,Soro,117,,,,,,,,316,253,137,1,0,0,0,0,0,3,710,0,1,711,0
7,Bhadrak,43,Soro,118,,,,,,,,203,233,115,2,2,1,1,1,0,1,559,0,4,563,0
7,Bhadrak,43,Soro,119,,,,,,,,176,176,62,0,0,0,1,0,1,2,418,0,0,418,0
7,Bhadrak,43,Soro,120,,,,,,,,274,199,106,1,0,1,3,1,1,6,592,0,5,597,0
7,Bhadrak,43,Soro,121,,,,,,,,180,122,26,0,1,0,0,0,0,1,330,0,3,333,0
7,Bhadrak,43,Soro,122,,,,,,,,383,368,81,1,0,0,0,0,0,2,835,0,0,835,0
7,Bhadrak,43,Soro,123,,,,,,,,226,483,274,3,1,1,0,1,0,1,990,0,3,993,0
7,Bhadrak,43,Soro,124,,,,,,,,318,431,154,3,1,1,0,1,0,0,909,0,1,910,0
7,Bhadrak,43,Soro,125,,,,,,,,183,216,56,8,1,0,1,0,2,1,468,0,2,470,0
7,Bhadrak,43,Soro,126,,,,,,,,216,237,98,1,0,0,1,0,1,1,555,0,1,556,0
7,Bhadrak,43,Soro,127,,,,,,,,136,270,103,2,1,0,0,0,1,0,513,0,0,513,0
7,Bhadrak,43,Soro,128,,,,,,,,251,228,182,1,0,0,1,0,1,0,664,0,2,666,0
7,Bhadrak,43,Soro,129,,,,,,,,64,166,138,2,0,1,0,0,0,0,371,0,2,373,0
7,Bhadrak,43,Soro,130,,,,,,,,152,86,255,5,0,0,0,0,0,1,499,0,2,501,0
7,Bhadrak,43,Soro,131,,,,,,,,177,222,333,2,0,1,2,3,1,1,742,0,1,743,0
7,Bhadrak,43,Soro,132,,,,,,,,149,196,265,1,0,0,0,0,0,0,611,0,0,611,0
7,Bhadrak,43,Soro,133,,,,,,,,245,204,328,3,6,1,0,0,0,2,789,0,2,791,0
7,Bhadrak,43,Soro,134,,,,,,,,95,544,352,6,0,3,0,0,0,2,1002,0,1,1003,0
7,Bhadrak,43,Soro,135,,,,,,,,109,318,324,5,0,1,0,0,0,1,758,0,0,758,0
7,Bhadrak,43,Soro,136,,,,,,,,226,319,179,1,1,0,1,0,2,3,732,0,5,737,0
7,Bhadrak,43,Soro,137,,,,,,,,118,219,193,3,3,3,1,3,1,4,548,0,7,555,0
7,Bhadrak,43,Soro,138,,,,,,,,173,272,164,1,1,0,0,0,0,2,613,0,1,614,0
7,Bhadrak,43,Soro,139,,,,,,,,141,191,220,2,4,1,0,1,1,3,564,0,4,568,0
7,Bhadrak,43,Soro,140,,,,,,,,240,217,290,0,1,1,2,0,3,1,755,0,6,761,0
7,Bhadrak,43,Soro,141,,,,,,,,148,379,290,4,1,1,1,2,2,1,829,0,1,830,0
7,Bhadrak,43,Soro,142,,,,,,,,250,338,391,1,1,1,1,1,3,6,993,0,6,999,0
7,Bhadrak,43,Soro,143,,,,,,,,168,213,247,2,1,0,1,0,0,0,632,0,2,634,0
7,Bhadrak,43,Soro,144,,,,,,,,131,258,367,2,0,0,3,0,3,2,766,0,3,769,0
7,Bhadrak,43,Soro,145,,,,,,,,101,246,166,0,0,0,0,0,0,0,513,0,0,513,0
7,Bhadrak,43,Soro,146,,,,,,,,166,346,384,6,2,0,0,0,0,1,905,0,5,910,0
7,Bhadrak,43,Soro,147,,,,,,,,288,225,365,3,3,0,0,0,1,0,885,0,0,885,0
7,Bhadrak,43,Soro,148,,,,,,,,111,427,289,1,1,2,1,0,0,0,832,0,5,837,0
7,Bhadrak,43,Soro,149,,,,,,,,218,225,458,1,1,0,0,1,2,1,907,0,2,909,0
7,Bhadrak,43,Soro,150,,,,,,,,254,386,430,2,1,1,1,0,1,0,1076,0,6,1082,0
7,Bhadrak,43,Soro,151,,,,,,,,144,155,249,0,0,0,0,0,0,0,548,0,0,548,0
7,Bhadrak,43,Soro,152,,,,,,,,163,208,291,2,0,1,1,0,0,0,666,0,2,668,0
7,Bhadrak,43,Soro,153,,,,,,,,152,203,255,1,0,0,1,0,3,1,616,0,6,622,0
7,Bhadrak,43,Soro,154,,,,,,,,326,300,165,2,0,2,0,0,0,2,797,0,4,801,0
7,Bhadrak,43,Soro,155,,,,,,,,338,373,107,3,1,2,0,2,0,1,827,0,0,827,0
7,Bhadrak,43,Soro,156,,,,,,,,260,291,297,0,0,2,1,1,0,1,853,0,0,853,0
7,Bhadrak,43,Soro,157,,,,,,,,268,247,242,5,0,1,0,0,1,0,764,0,2,766,0
