pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,TOTAL OF VALID VOTES,NO. OF REJECTED VOTES,NOTA,TOTAL,NO. OF TENDERED VOTES
9,Dhenkanal,60,Parjanga,152,,,,,,,,0,195,355,18,1,1,2,9,581,0,4,585,0
9,Dhenkanal,60,Parjanga,153,,,,,,,,2,196,355,20,4,4,2,9,592,0,5,597,0
9,Dhenkanal,60,Parjanga,154,,,,,,,,1,181,231,20,0,0,0,14,447,0,0,447,0
9,Dhenkanal,60,Parjanga,155,,,,,,,,0,95,144,6,1,1,0,15,262,0,2,264,0
9,Dhenkanal,60,Parjanga,156,,,,,,,,1,226,369,21,4,0,0,20,641,0,1,642,0
9,Dhenkanal,60,Parjanga,157,,,,,,,,3,162,246,13,2,3,0,6,435,0,3,438,0
9,Dhenkanal,60,Parjanga,158,,,,,,,,2,493,529,7,5,1,1,8,1046,0,0,1046,0
9,Dhenkanal,60,Parjanga,160,,,,,,,,1,204,321,17,0,0,1,10,554,0,5,559,0
9,Dhenkanal,60,Parjanga,161,,,,,,,,3,149,281,14,0,0,1,5,453,0,3,456,0
9,Dhenkanal,60,Parjanga,162,,,,,,,,2,256,444,32,2,0,0,19,755,0,8,763,0
9,Dhenkanal,60,Parjanga,163,,,,,,,,3,213,512,29,3,0,1,14,775,0,11,786,0
9,Dhenkanal,60,Parjanga,164,,,,,,,,3,485,591,39,5,1,3,8,1135,0,3,1138,0
9,Dhenkanal,60,Parjanga,165,,,,,,,,4,298,367,14,2,3,0,9,697,0,5,702,0
9,Dhenkanal,60,Parjanga,166,,,,,,,,4,270,310,8,4,2,0,6,604,0,6,610,0
9,Dhenkanal,60,Parjanga,167,,,,,,,,0,205,316,10,0,0,0,5,536,0,4,540,0
9,Dhenkanal,60,Parjanga,168,,,,,,,,1,489,341,10,2,1,3,8,855,0,7,862,0
9,Dhenkanal,60,Parjanga,169,,,,,,,,1,399,379,21,2,4,4,6,816,0,5,821,0
9,Dhenkanal,60,Parjanga,170,,,,,,,,0,243,616,32,4,7,5,19,926,0,10,936,0
9,Dhenkanal,60,Parjanga,171,,,,,,,,4,245,540,24,2,5,3,28,851,0,10,861,0
9,Dhenkanal,60,Parjanga,172,,,,,,,,3,319,347,28,2,2,1,3,705,0,6,711,0
9,Dhenkanal,60,Parjanga,173,,,,,,,,2,387,555,25,1,1,2,9,982,0,2,984,0
9,Dhenkanal,60,Parjanga,174,,,,,,,,3,456,523,23,0,1,2,9,1017,0,3,1020,0
9,Dhenkanal,60,Parjanga,175,,,,,,,,1,343,396,15,3,3,1,12,774,0,6,780,0
9,Dhenkanal,60,Parjanga,176,,,,,,,,2,356,509,22,1,2,3,21,916,0,8,924,0
9,Dhenkanal,60,Parjanga,177,,,,,,,,4,296,510,40,2,2,0,37,891,0,1,892,0
9,Dhenkanal,60,Parjanga,178,,,,,,,,4,141,400,15,0,0,0,44,604,0,0,604,0
9,Dhenkanal,60,Parjanga,179,,,,,,,,0,114,431,18,2,1,0,15,581,0,1,582,0
9,Dhenkanal,60,Parjanga,180,,,,,,,,0,334,609,37,2,0,0,23,1005,0,4,1009,0
9,Dhenkanal,60,Parjanga,181,,,,,,,,1,238,379,8,4,3,8,8,649,0,6,655,0
9,Dhenkanal,60,Parjanga,182,,,,,,,,1,157,372,30,6,1,2,21,590,0,9,599,0
9,Dhenkanal,60,Parjanga,183,,,,,,,,5,209,517,32,0,1,3,16,783,0,7,790,0
9,Dhenkanal,60,Parjanga,184,,,,,,,,1,184,360,22,2,2,0,23,594,0,2,596,0
9,Dhenkanal,60,Parjanga,185,,,,,,,,3,198,293,24,2,1,1,6,528,0,5,533,0
9,Dhenkanal,60,Parjanga,186,,,,,,,,5,238,365,10,1,1,0,29,649,0,9,658,0
9,Dhenkanal,60,Parjanga,187,,,,,,,,1,226,314,17,3,1,1,34,597,0,13,610,0
9,Dhenkanal,60,Parjanga,188,,,,,,,,2,47,46,8,0,0,0,2,105,0,3,108,0
9,Dhenkanal,60,Parjanga,189,,,,,,,,0,59,71,9,0,0,0,1,140,0,2,142,0
9,Dhenkanal,60,Parjanga,190,,,,,,,,1,119,190,24,1,0,1,2,338,0,4,342,0
9,Dhenkanal,60,Parjanga,191,,,,,,,,4,62,266,6,5,2,1,37,383,0,1,384,0
9,Dhenkanal,60,Parjanga,192,,,,,,,,1,130,298,1,0,2,0,1,433,0,4,437,0
9,Dhenkanal,60,Parjanga,193,,,,,,,,0,580,261,8,5,3,1,35,893,0,7,900,0
9,Dhenkanal,60,Parjanga,194,,,,,,,,2,451,429,31,1,2,2,6,924,0,0,924,0
9,Dhenkanal,60,Parjanga,195,,,,,,,,1,231,233,4,1,0,2,4,476,0,2,478,0
9,Dhenkanal,60,Parjanga,196,,,,,,,,6,289,470,23,7,1,3,5,804,0,3,807,0
9,Dhenkanal,60,Parjanga,197,,,,,,,,2,137,477,16,3,0,2,10,647,0,3,650,0
9,Dhenkanal,60,Parjanga,198,,,,,,,,0,278,337,23,5,1,2,14,660,0,1,661,0
9,Dhenkanal,60,Parjanga,199,,,,,,,,0,280,563,18,2,0,1,14,878,0,3,881,0
9,Dhenkanal,60,Parjanga,200,,,,,,,,2,447,449,8,2,1,0,5,914,0,4,918,0
9,Dhenkanal,60,Parjanga,201,,,,,,,,2,343,574,28,7,1,1,6,962,0,5,967,0
