pc_id,pc_name,ac_id,ac_name,Sl. No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Total No. of Valid Votes,No.of rejected votes         (Test Votes),Votes for NOTA option,Total,No. of Tendered Votes
11,Kalahandi,74,Junagarh,192,,,,,,,,161,215,329,33,738,0,22,760,0
11,Kalahandi,74,Junagarh,193,,,,,,,,67,222,200,11,500,0,6,506,0
11,Kalahandi,74,Junagarh,194,,,,,,,,222,274,324,29,849,0,38,887,0
11,Kalahandi,74,Junagarh,195,,,,,,,,27,517,220,1,765,0,4,769,0
11,Kalahandi,74,Junagarh,196,,,,,,,,395,233,240,16,884,0,16,900,0
11,Kalahandi,74,Junagarh,197,,,,,,,,157,318,278,67,820,0,80,900,0
11,Kalahandi,74,Junagarh,198,,,,,,,,288,233,384,36,941,0,28,969,0
11,Kalahandi,74,Junagarh,199,,,,,,,,581,118,142,18,859,0,14,873,0
11,Kalahandi,74,Junagarh,200,,,,,,,,131,199,456,29,815,0,20,835,0
11,Kalahandi,74,Junagarh,201,,,,,,,,228,112,184,8,532,0,9,541,0
11,Kalahandi,74,Junagarh,202,,,,,,,,0,0,0,0,0,0,0,0,0
11,Kalahandi,74,Junagarh,203,,,,,,,,187,225,240,20,672,0,20,692,0
11,Kalahandi,74,Junagarh,204,,,,,,,,0,0,0,0,0,0,0,0,0
11,Kalahandi,74,Junagarh,205,,,,,,,,203,56,102,10,371,0,11,382,0
11,Kalahandi,74,Junagarh,206,,,,,,,,310,122,191,15,638,0,22,660,0
11,Kalahandi,74,Junagarh,207,,,,,,,,427,121,319,13,880,0,8,888,0
11,Kalahandi,74,Junagarh,208,,,,,,,,366,114,418,33,931,0,50,981,0
11,Kalahandi,74,Junagarh,209,,,,,,,,107,76,445,22,650,0,21,671,0
11,Kalahandi,74,Junagarh,210,,,,,,,,129,48,316,19,512,0,16,528,0
11,Kalahandi,74,Junagarh,211,,,,,,,,279,33,424,16,752,0,17,769,0
11,Kalahandi,74,Junagarh,212,,,,,,,,217,77,153,18,465,0,22,487,0
11,Kalahandi,74,Junagarh,213,,,,,,,,153,76,253,6,488,0,11,499,0
11,Kalahandi,74,Junagarh,214,,,,,,,,169,71,617,15,872,0,29,901,0
11,Kalahandi,74,Junagarh,215,,,,,,,,343,27,174,10,554,0,21,575,0
11,Kalahandi,74,Junagarh,216,,,,,,,,280,71,211,11,573,0,31,604,0
11,Kalahandi,74,Junagarh,217,,,,,,,,218,131,258,17,624,0,24,648,0
11,Kalahandi,74,Junagarh,218,,,,,,,,271,167,500,38,976,0,39,1015,0
11,Kalahandi,74,Junagarh,219,,,,,,,,229,163,202,27,621,0,21,642,0
11,Kalahandi,74,Junagarh,220,,,,,,,,30,517,52,5,604,0,3,607,0
11,Kalahandi,74,Junagarh,221,,,,,,,,240,179,307,13,739,0,8,747,0
11,Kalahandi,74,Junagarh,222,,,,,,,,372,83,157,15,627,0,22,649,0
11,Kalahandi,74,Junagarh,223,,,,,,,,198,226,436,31,891,0,37,928,0
11,Kalahandi,74,Junagarh,224,,,,,,,,171,46,255,22,494,0,12,506,0
11,Kalahandi,74,Junagarh,225,,,,,,,,341,89,228,22,680,0,23,703,0
11,Kalahandi,74,Junagarh,226,,,,,,,,162,171,251,29,613,0,26,639,0
11,Kalahandi,74,Junagarh,227,,,,,,,,179,104,105,17,405,0,7,412,0
