pc_id,pc_name,ac_id,ac_name,Polling Booth No,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Total Valid votes,No. Of Rejected votes (Test votes),Nota,Cumulative Total
7,Bhadrak,42,Chandabali,132,,,,,,,,20,395,387,3,0,805,nan,2,807
7,Bhadrak,42,Chandabali,133,,,,,,,,56,536,453,8,2,1055,nan,5,1060
7,Bhadrak,42,Chandabali,134,,,,,,,,6,184,173,2,0,365,nan,0,365
7,Bhadrak,42,Chandabali,135,,,,,,,,34,401,310,2,0,747,nan,2,749
7,Bhadrak,42,Chandabali,136,,,,,,,,20,437,356,7,3,823,nan,5,828
7,Bhadrak,42,Chandabali,137,,,,,,,,17,465,344,3,1,830,nan,0,830
7,Bhadrak,42,Chandabali,138,,,,,,,,29,449,306,5,3,792,nan,13,805
7,Bhadrak,42,Chandabali,139,,,,,,,,25,337,394,10,0,766,nan,2,768
7,Bhadrak,42,Chandabali,140,,,,,,,,6,132,145,0,0,283,nan,1,284
7,Bhadrak,42,Chandabali,141,,,,,,,,63,315,360,7,0,745,nan,3,748
7,Bhadrak,42,Chandabali,142,,,,,,,,11,429,342,6,2,790,nan,6,796
7,Bhadrak,42,Chandabali,143,,,,,,,,12,282,210,1,1,506,nan,1,507
7,Bhadrak,42,Chandabali,144,,,,,,,,30,471,435,7,1,944,nan,3,947
7,Bhadrak,42,Chandabali,145,,,,,,,,9,246,138,1,1,395,nan,0,395
7,Bhadrak,42,Chandabali,146,,,,,,,,28,228,164,3,0,423,nan,0,423
7,Bhadrak,42,Chandabali,147,,,,,,,,8,579,308,2,1,898,nan,4,902
7,Bhadrak,42,Chandabali,148,,,,,,,,11,389,233,3,1,637,nan,3,640
7,Bhadrak,42,Chandabali,149,,,,,,,,26,408,332,2,0,768,nan,4,772
7,Bhadrak,42,Chandabali,150,,,,,,,,21,522,336,2,2,883,nan,9,892
7,Bhadrak,42,Chandabali,151,,,,,,,,20,619,284,7,6,936,nan,2,938
7,Bhadrak,42,Chandabali,152,,,,,,,,15,363,320,2,1,701,nan,1,702
7,Bhadrak,42,Chandabali,153,,,,,,,,21,660,296,6,3,986,nan,3,989
7,Bhadrak,42,Chandabali,154,,,,,,,,12,238,160,0,1,411,nan,2,413
7,Bhadrak,42,Chandabali,155,,,,,,,,13,142,159,3,2,319,nan,6,325
7,Bhadrak,42,Chandabali,156,,,,,,,,16,572,335,1,0,924,nan,2,926
7,Bhadrak,42,Chandabali,157,,,,,,,,20,509,287,1,0,817,nan,6,823
7,Bhadrak,42,Chandabali,158,,,,,,,,79,325,275,0,0,679,nan,2,681
