pc_id,pc_name,ac_id,ac_name,Sl. No.Polling,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Total Valid votes,Reject Votes,Votes for NOTA option,Total,Tendered votes
19,Aska,130,Aska,200,,,,,,,,10.0,137.0,203.0,497.0,11.0,858.0,0.0,25.0,883.0,0.0
19,Aska,130,Aska,201,,,,,,,,5.0,81.0,58.0,574.0,6.0,724.0,0.0,5.0,729.0,0.0
19,Aska,130,Aska,202,,,,,,,,6.0,473.0,102.0,262.0,12.0,855.0,0.0,7.0,862.0,0.0
19,Aska,130,Aska,203,,,,,,,,0.0,47.0,31.0,172.0,3.0,253.0,0.0,1.0,254.0,0.0
19,Aska,130,Aska,204,,,,,,,,0.0,216.0,57.0,337.0,7.0,617.0,0.0,4.0,621.0,0.0
19,Aska,130,Aska,205,,,,,,,,2.0,219.0,53.0,400.0,4.0,678.0,0.0,16.0,694.0,0.0
19,Aska,130,Aska,206,,,,,,,,1.0,75.0,37.0,229.0,5.0,347.0,0.0,5.0,352.0,0.0
19,Aska,130,Aska,207,,,,,,,,7.0,137.0,50.0,460.0,9.0,663.0,0.0,32.0,695.0,0.0
19,Aska,130,Aska,208,,,,,,,,5.0,151.0,71.0,496.0,6.0,729.0,0.0,10.0,739.0,0.0
19,Aska,130,Aska,209,,,,,,,,7.0,192.0,62.0,476.0,16.0,753.0,0.0,5.0,758.0,0.0
19,Aska,130,Aska,210,,,,,,,,6.0,149.0,51.0,371.0,6.0,583.0,0.0,2.0,585.0,0.0
19,Aska,130,Aska,211,,,,,,,,3.0,125.0,54.0,388.0,12.0,582.0,0.0,8.0,590.0,0.0
19,Aska,130,Aska,212,,,,,,,,5.0,99.0,42.0,304.0,10.0,460.0,0.0,1.0,461.0,0.0
19,Aska,130,Aska,213,,,,,,,,6.0,78.0,44.0,356.0,5.0,489.0,0.0,16.0,505.0,0.0
19,Aska,130,Aska,214,,,,,,,,5.0,248.0,31.0,291.0,2.0,577.0,0.0,5.0,582.0,0.0
19,Aska,130,Aska,215,,,,,,,,2.0,170.0,83.0,368.0,8.0,631.0,0.0,4.0,635.0,0.0
19,Aska,130,Aska,216,,,,,,,,4.0,175.0,83.0,510.0,21.0,793.0,0.0,15.0,808.0,0.0
19,Aska,130,Aska,217,,,,,,,,7.0,334.0,65.0,396.0,12.0,814.0,0.0,0.0,814.0,0.0
