pc_id,pc_name,ac_id,ac_name,Serial No of polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total valid Votes,No of rejected votes,NOTA,Total,NO of tendered Votes
16,Jagatsinghpur,111,Kakatpur,195,,,,,,,,507,102,2,2,1,52,5,14,685,0,4,689,0.0
16,Jagatsinghpur,111,Kakatpur,196,,,,,,,,379,54,6,2,0,101,0,5,547,0,0,547,0.0
16,Jagatsinghpur,111,Kakatpur,197,,,,,,,,217,210,5,3,1,155,1,4,596,0,1,597,0.0
16,Jagatsinghpur,111,Kakatpur,198,,,,,,,,263,131,31,1,4,248,3,7,688,0,1,689,0.0
16,Jagatsinghpur,111,Kakatpur,199,,,,,,,,318,150,12,3,4,268,5,5,765,0,3,768,0.0
16,Jagatsinghpur,111,Kakatpur,200,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16,Jagatsinghpur,111,Kakatpur,201,,,,,,,,279,121,4,6,2,201,2,2,617,0,3,620,0.0
16,Jagatsinghpur,111,Kakatpur,202,,,,,,,,245,162,0,0,1,29,0,3,440,0,0,440,0.0
16,Jagatsinghpur,111,Kakatpur,203,,,,,,,,114,113,0,3,0,111,1,0,342,0,0,342,0.0
16,Jagatsinghpur,111,Kakatpur,204,,,,,,,,158,129,7,2,2,77,2,1,378,0,1,379,0.0
16,Jagatsinghpur,111,Kakatpur,205,,,,,,,,245,114,9,3,3,233,1,1,609,0,0,609,0.0
16,Jagatsinghpur,111,Kakatpur,206,,,,,,,,209,180,11,4,4,276,2,2,688,0,1,689,0.0
16,Jagatsinghpur,111,Kakatpur,207,,,,,,,,250,201,6,0,3,167,0,2,629,0,4,633,0.0
16,Jagatsinghpur,111,Kakatpur,208,,,,,,,,253,122,5,9,2,215,1,2,609,0,6,615,0.0
16,Jagatsinghpur,111,Kakatpur,209,,,,,,,,357,120,2,1,2,189,2,5,678,0,6,684,0.0
16,Jagatsinghpur,111,Kakatpur,210,,,,,,,,184,110,4,3,1,178,0,2,482,0,1,483,0.0
16,Jagatsinghpur,111,Kakatpur,211,,,,,,,,160,98,3,1,2,235,2,2,503,0,1,504,0.0
16,Jagatsinghpur,111,Kakatpur,212,,,,,,,,434,148,15,11,7,281,7,12,915,0,21,936,0.0
16,Jagatsinghpur,111,Kakatpur,213,,,,,,,,312,134,2,3,1,185,0,3,640,0,1,641,0.0
16,Jagatsinghpur,111,Kakatpur,214,,,,,,,,271,62,5,0,1,210,0,1,550,0,0,550,0.0
16,Jagatsinghpur,111,Kakatpur,215,,,,,,,,280,92,4,2,2,116,2,3,501,0,3,504,0.0
16,Jagatsinghpur,111,Kakatpur,216,,,,,,,,327,197,4,3,4,248,2,2,787,0,2,789,0.0
16,Jagatsinghpur,111,Kakatpur,217,,,,,,,,320,94,2,1,3,145,0,2,567,0,2,569,0.0
16,Jagatsinghpur,111,Kakatpur,218,,,,,,,,296,219,9,1,6,256,7,12,806,0,5,811,0.0
16,Jagatsinghpur,111,Kakatpur,219,,,,,,,,174,129,35,1,3,131,6,7,486,0,15,501,0.0
16,Jagatsinghpur,111,Kakatpur,220,,,,,,,,139,176,10,2,1,120,1,4,453,0,3,456,0.0
16,Jagatsinghpur,111,Kakatpur,221,,,,,,,,175,169,17,8,4,232,2,11,618,0,8,626,0.0
16,Jagatsinghpur,111,Kakatpur,222,,,,,,,,193,62,9,2,3,205,4,2,480,0,1,481,0.0
16,Jagatsinghpur,111,Kakatpur,223,,,,,,,,203,43,7,4,2,123,0,0,382,0,0,382,0.0
16,Jagatsinghpur,111,Kakatpur,224,,,,,,,,260,71,1,2,1,168,1,0,504,0,0,504,0.0
16,Jagatsinghpur,111,Kakatpur,225,,,,,,,,215,225,3,4,2,216,0,4,669,0,1,670,0.0
16,Jagatsinghpur,111,Kakatpur,226,,,,,,,,158,82,3,4,1,286,4,2,540,0,8,548,0.0
16,Jagatsinghpur,111,Kakatpur,227,,,,,,,,191,208,3,5,1,247,0,1,656,0,4,660,0.0
16,Jagatsinghpur,111,Kakatpur,228,,,,,,,,152,155,1,1,2,225,2,2,540,0,1,541,0.0
16,Jagatsinghpur,111,Kakatpur,229,,,,,,,,171,182,1,1,2,61,2,0,420,0,3,423,0.0
16,Jagatsinghpur,111,Kakatpur,230,,,,,,,,107,196,2,3,2,201,1,2,514,0,6,520,0.0
16,Jagatsinghpur,111,Kakatpur,231,,,,,,,,218,213,3,4,1,115,2,1,557,0,3,560,0.0
16,Jagatsinghpur,111,Kakatpur,232,,,,,,,,193,88,10,2,1,306,6,2,608,0,5,613,0.0
16,Jagatsinghpur,111,Kakatpur,233,,,,,,,,146,236,5,2,1,179,2,1,572,0,0,572,0.0
16,Jagatsinghpur,111,Kakatpur,234,,,,,,,,189,232,2,1,1,149,0,1,575,0,1,576,0.0
16,Jagatsinghpur,111,Kakatpur,235,,,,,,,,178,156,4,1,2,165,0,1,507,0,3,510,0.0
16,Jagatsinghpur,111,Kakatpur,23,,,,,,,,515,135,6,3,4,160,1,8,832,0,7,839,0.0
16,Jagatsinghpur,111,Kakatpur,59,,,,,,,,289,112,7,3,3,128,1,2,545,0,4,549,0.0
16,Jagatsinghpur,111,Kakatpur,96,,,,,,,,324,206,6,5,2,215,3,2,763,0,3,766,0.0
16,Jagatsinghpur,111,Kakatpur,108,,,,,,,,285,142,6,0,2,191,0,1,627,0,3,630,0.0
16,Jagatsinghpur,111,Kakatpur,123,,,,,,,,309,108,6,1,4,502,0,0,930,0,4,934,0.0
16,Jagatsinghpur,111,Kakatpur,133,,,,,,,,312,65,8,6,2,357,4,7,761,0,14,775,0.0
16,Jagatsinghpur,111,Kakatpur,173,,,,,,,,385,203,5,2,3,172,5,6,781,0,1,782,0.0
16,Jagatsinghpur,111,Kakatpur,200,,,,,,,,231,96,0,2,1,97,2,1,430,0,2,432,0.0
