pc_id,pc_name,ac_id,ac_name,Polling Booth No,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Total of Valid Votes,No of Rejected Votes,NOTA,Total,No Of Tendered Votes
4,Keonjhar,26,Keonjhar,1,,,,,,,,13.0,327.0,245.0,14.0,0.0,6.0,21.0,4.0,4.0,10.0,644.0,0.0,5.0,649.0,0.0
4,Keonjhar,26,Keonjhar,2,,,,,,,,4.0,243.0,245.0,9.0,1.0,2.0,21.0,2.0,5.0,3.0,535.0,0.0,4.0,539.0,0.0
4,Keonjhar,26,Keonjhar,3,,,,,,,,7.0,272.0,210.0,9.0,2.0,7.0,110.0,5.0,3.0,3.0,628.0,0.0,8.0,636.0,0.0
4,Keonjhar,26,Keonjhar,4,,,,,,,,7.0,230.0,284.0,7.0,3.0,1.0,35.0,2.0,6.0,7.0,582.0,0.0,14.0,596.0,0.0
4,Keonjhar,26,Keonjhar,5,,,,,,,,11.0,365.0,361.0,34.0,2.0,10.0,160.0,3.0,9.0,8.0,963.0,0.0,15.0,978.0,0.0
4,Keonjhar,26,Keonjhar,6,,,,,,,,7.0,290.0,184.0,12.0,3.0,3.0,103.0,2.0,2.0,1.0,607.0,0.0,3.0,610.0,0.0
4,Keonjhar,26,Keonjhar,7,,,,,,,,13.0,511.0,308.0,13.0,4.0,0.0,18.0,3.0,5.0,3.0,878.0,0.0,9.0,887.0,0.0
4,Keonjhar,26,Keonjhar,8,,,,,,,,12.0,381.0,284.0,23.0,4.0,10.0,164.0,8.0,9.0,11.0,906.0,0.0,11.0,917.0,0.0
4,Keonjhar,26,Keonjhar,9,,,,,,,,9.0,116.0,92.0,6.0,9.0,7.0,48.0,7.0,8.0,5.0,307.0,0.0,6.0,313.0,0.0
4,Keonjhar,26,Keonjhar,10,,,,,,,,10.0,262.0,305.0,26.0,3.0,3.0,60.0,7.0,7.0,11.0,694.0,0.0,24.0,718.0,0.0
4,Keonjhar,26,Keonjhar,11,,,,,,,,7.0,144.0,130.0,12.0,0.0,4.0,15.0,2.0,2.0,1.0,317.0,0.0,1.0,318.0,0.0
4,Keonjhar,26,Keonjhar,12,,,,,,,,7.0,239.0,208.0,6.0,1.0,1.0,43.0,0.0,2.0,1.0,508.0,0.0,2.0,510.0,0.0
4,Keonjhar,26,Keonjhar,13,,,,,,,,7.0,299.0,287.0,11.0,1.0,3.0,27.0,4.0,6.0,13.0,658.0,0.0,14.0,672.0,0.0
4,Keonjhar,26,Keonjhar,14,,,,,,,,8.0,150.0,325.0,10.0,0.0,6.0,19.0,1.0,2.0,3.0,524.0,0.0,8.0,532.0,0.0
4,Keonjhar,26,Keonjhar,15,,,,,,,,10.0,402.0,254.0,26.0,4.0,7.0,71.0,3.0,4.0,7.0,788.0,0.0,11.0,799.0,0.0
4,Keonjhar,26,Keonjhar,16,,,,,,,,10.0,231.0,227.0,8.0,2.0,2.0,11.0,2.0,4.0,6.0,503.0,0.0,19.0,522.0,0.0
4,Keonjhar,26,Keonjhar,17,,,,,,,,5.0,261.0,278.0,6.0,3.0,4.0,54.0,1.0,3.0,1.0,616.0,0.0,0.0,616.0,0.0
4,Keonjhar,26,Keonjhar,18,,,,,,,,11.0,300.0,199.0,10.0,0.0,1.0,25.0,4.0,6.0,7.0,563.0,0.0,5.0,568.0,0.0
4,Keonjhar,26,Keonjhar,19,,,,,,,,10.0,334.0,302.0,14.0,5.0,6.0,77.0,3.0,4.0,3.0,758.0,0.0,5.0,763.0,0.0
4,Keonjhar,26,Keonjhar,20,,,,,,,,6.0,163.0,93.0,2.0,0.0,2.0,4.0,2.0,1.0,1.0,274.0,0.0,6.0,280.0,0.0
4,Keonjhar,26,Keonjhar,21,,,,,,,,1.0,195.0,124.0,8.0,0.0,2.0,16.0,1.0,1.0,4.0,352.0,0.0,2.0,354.0,0.0
4,Keonjhar,26,Keonjhar,22,,,,,,,,6.0,211.0,155.0,17.0,1.0,3.0,15.0,0.0,1.0,2.0,411.0,0.0,3.0,414.0,0.0
4,Keonjhar,26,Keonjhar,23,,,,,,,,14.0,356.0,342.0,23.0,2.0,3.0,108.0,2.0,4.0,7.0,861.0,0.0,13.0,874.0,0.0
4,Keonjhar,26,Keonjhar,24,,,,,,,,4.0,192.0,145.0,17.0,2.0,0.0,12.0,4.0,1.0,3.0,380.0,0.0,2.0,382.0,0.0
4,Keonjhar,26,Keonjhar,25,,,,,,,,9.0,536.0,214.0,7.0,2.0,1.0,40.0,0.0,1.0,1.0,811.0,0.0,1.0,812.0,0.0
4,Keonjhar,26,Keonjhar,26,,,,,,,,5.0,178.0,108.0,7.0,2.0,4.0,12.0,1.0,1.0,0.0,318.0,0.0,7.0,325.0,0.0
4,Keonjhar,26,Keonjhar,27,,,,,,,,7.0,223.0,163.0,24.0,0.0,3.0,11.0,2.0,1.0,3.0,437.0,0.0,5.0,442.0,0.0
4,Keonjhar,26,Keonjhar,28,,,,,,,,4.0,161.0,130.0,28.0,2.0,2.0,13.0,1.0,2.0,1.0,344.0,0.0,6.0,350.0,0.0
4,Keonjhar,26,Keonjhar,29,,,,,,,,14.0,237.0,195.0,68.0,2.0,3.0,79.0,3.0,0.0,1.0,602.0,0.0,7.0,609.0,0.0
4,Keonjhar,26,Keonjhar,30,,,,,,,,21.0,332.0,484.0,29.0,7.0,9.0,93.0,10.0,10.0,11.0,1006.0,0.0,13.0,1019.0,0.0
4,Keonjhar,26,Keonjhar,31,,,,,,,,13.0,279.0,436.0,27.0,3.0,6.0,67.0,5.0,8.0,8.0,852.0,0.0,10.0,862.0,0.0
4,Keonjhar,26,Keonjhar,32,,,,,,,,7.0,187.0,258.0,29.0,0.0,3.0,54.0,3.0,4.0,3.0,548.0,0.0,8.0,556.0,0.0
4,Keonjhar,26,Keonjhar,33,,,,,,,,8.0,213.0,226.0,52.0,4.0,8.0,12.0,6.0,1.0,2.0,532.0,0.0,5.0,537.0,0.0
4,Keonjhar,26,Keonjhar,34,,,,,,,,5.0,206.0,140.0,10.0,0.0,1.0,67.0,0.0,1.0,4.0,434.0,0.0,8.0,442.0,0.0
4,Keonjhar,26,Keonjhar,35,,,,,,,,5.0,301.0,269.0,39.0,2.0,10.0,136.0,5.0,6.0,5.0,778.0,0.0,19.0,797.0,0.0
4,Keonjhar,26,Keonjhar,36,,,,,,,,3.0,368.0,340.0,14.0,1.0,5.0,96.0,5.0,6.0,7.0,845.0,0.0,15.0,860.0,0.0
4,Keonjhar,26,Keonjhar,37,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Keonjhar,26,Keonjhar,38,,,,,,,,6.0,237.0,262.0,26.0,0.0,0.0,86.0,4.0,1.0,0.0,622.0,0.0,2.0,624.0,0.0
4,Keonjhar,26,Keonjhar,39,,,,,,,,13.0,242.0,374.0,20.0,4.0,4.0,124.0,2.0,2.0,8.0,793.0,0.0,11.0,804.0,0.0
4,Keonjhar,26,Keonjhar,40,,,,,,,,7.0,316.0,276.0,25.0,3.0,8.0,157.0,6.0,3.0,9.0,810.0,0.0,14.0,824.0,0.0
4,Keonjhar,26,Keonjhar,41,,,,,,,,1.0,179.0,138.0,3.0,1.0,2.0,40.0,0.0,0.0,0.0,364.0,0.0,1.0,365.0,0.0
4,Keonjhar,26,Keonjhar,42,,,,,,,,4.0,175.0,186.0,9.0,4.0,1.0,12.0,0.0,3.0,4.0,398.0,0.0,11.0,409.0,0.0
4,Keonjhar,26,Keonjhar,43,,,,,,,,8.0,146.0,228.0,14.0,1.0,0.0,31.0,2.0,3.0,5.0,438.0,0.0,10.0,448.0,0.0
4,Keonjhar,26,Keonjhar,44,,,,,,,,14.0,148.0,308.0,19.0,2.0,0.0,8.0,0.0,0.0,4.0,503.0,0.0,4.0,507.0,0.0
4,Keonjhar,26,Keonjhar,45,,,,,,,,9.0,375.0,302.0,25.0,3.0,9.0,22.0,5.0,8.0,5.0,763.0,0.0,14.0,777.0,0.0
4,Keonjhar,26,Keonjhar,46,,,,,,,,20.0,346.0,330.0,48.0,9.0,7.0,53.0,5.0,6.0,5.0,829.0,0.0,3.0,832.0,0.0
4,Keonjhar,26,Keonjhar,47,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Keonjhar,26,Keonjhar,48,,,,,,,,16.0,539.0,333.0,14.0,0.0,0.0,71.0,0.0,0.0,1.0,974.0,0.0,2.0,976.0,0.0
4,Keonjhar,26,Keonjhar,49,,,,,,,,7.0,198.0,145.0,9.0,2.0,1.0,23.0,2.0,2.0,0.0,389.0,0.0,3.0,392.0,0.0
4,Keonjhar,26,Keonjhar,50,,,,,,,,4.0,243.0,284.0,21.0,0.0,2.0,35.0,1.0,0.0,5.0,595.0,0.0,6.0,601.0,0.0
4,Keonjhar,26,Keonjhar,51,,,,,,,,3.0,200.0,175.0,9.0,0.0,3.0,85.0,0.0,0.0,0.0,475.0,0.0,1.0,476.0,0.0
4,Keonjhar,26,Keonjhar,52,,,,,,,,7.0,236.0,174.0,20.0,0.0,1.0,17.0,1.0,1.0,2.0,459.0,0.0,3.0,462.0,0.0
4,Keonjhar,26,Keonjhar,53,,,,,,,,1.0,273.0,442.0,9.0,0.0,3.0,35.0,1.0,1.0,0.0,765.0,0.0,1.0,766.0,0.0
4,Keonjhar,26,Keonjhar,54,,,,,,,,8.0,153.0,173.0,5.0,1.0,2.0,100.0,1.0,1.0,4.0,448.0,0.0,1.0,449.0,0.0
4,Keonjhar,26,Keonjhar,55,,,,,,,,3.0,93.0,159.0,13.0,0.0,1.0,5.0,0.0,1.0,1.0,276.0,0.0,2.0,278.0,0.0
4,Keonjhar,26,Keonjhar,56,,,,,,,,3.0,214.0,260.0,29.0,1.0,0.0,44.0,0.0,2.0,2.0,555.0,0.0,3.0,558.0,0.0
4,Keonjhar,26,Keonjhar,57,,,,,,,,5.0,148.0,170.0,25.0,2.0,1.0,11.0,3.0,2.0,4.0,371.0,0.0,5.0,376.0,0.0
4,Keonjhar,26,Keonjhar,58,,,,,,,,7.0,179.0,234.0,1.0,3.0,2.0,6.0,1.0,2.0,0.0,435.0,0.0,2.0,437.0,0.0
4,Keonjhar,26,Keonjhar,59,,,,,,,,4.0,162.0,160.0,31.0,1.0,2.0,73.0,1.0,1.0,0.0,435.0,0.0,1.0,436.0,0.0
4,Keonjhar,26,Keonjhar,60,,,,,,,,9.0,303.0,367.0,30.0,0.0,1.0,9.0,0.0,1.0,3.0,723.0,0.0,3.0,726.0,0.0
4,Keonjhar,26,Keonjhar,61,,,,,,,,3.0,199.0,324.0,2.0,0.0,3.0,16.0,1.0,0.0,0.0,548.0,0.0,3.0,551.0,0.0
4,Keonjhar,26,Keonjhar,62,,,,,,,,11.0,222.0,316.0,13.0,0.0,0.0,19.0,0.0,0.0,0.0,581.0,0.0,1.0,582.0,0.0
4,Keonjhar,26,Keonjhar,63,,,,,,,,6.0,109.0,169.0,7.0,0.0,0.0,14.0,1.0,0.0,1.0,307.0,0.0,1.0,308.0,0.0
4,Keonjhar,26,Keonjhar,64,,,,,,,,3.0,126.0,142.0,5.0,0.0,1.0,16.0,0.0,0.0,1.0,294.0,0.0,3.0,297.0,0.0
4,Keonjhar,26,Keonjhar,65,,,,,,,,10.0,152.0,440.0,15.0,1.0,3.0,21.0,1.0,1.0,4.0,648.0,0.0,1.0,649.0,0.0
4,Keonjhar,26,Keonjhar,66,,,,,,,,10.0,293.0,225.0,8.0,0.0,3.0,53.0,1.0,3.0,1.0,597.0,0.0,4.0,601.0,0.0
4,Keonjhar,26,Keonjhar,67,,,,,,,,4.0,76.0,335.0,10.0,1.0,0.0,13.0,1.0,1.0,0.0,441.0,0.0,4.0,445.0,0.0
4,Keonjhar,26,Keonjhar,68,,,,,,,,4.0,261.0,256.0,27.0,2.0,5.0,73.0,6.0,1.0,3.0,638.0,0.0,2.0,640.0,0.0
4,Keonjhar,26,Keonjhar,69,,,,,,,,4.0,112.0,178.0,44.0,0.0,5.0,54.0,0.0,2.0,1.0,400.0,0.0,1.0,401.0,0.0
4,Keonjhar,26,Keonjhar,70,,,,,,,,6.0,183.0,218.0,6.0,2.0,0.0,28.0,0.0,0.0,2.0,445.0,0.0,3.0,448.0,0.0
4,Keonjhar,26,Keonjhar,71,,,,,,,,5.0,175.0,267.0,20.0,1.0,3.0,18.0,1.0,2.0,2.0,494.0,0.0,12.0,506.0,0.0
4,Keonjhar,26,Keonjhar,72,,,,,,,,20.0,487.0,408.0,42.0,3.0,4.0,51.0,7.0,5.0,5.0,1032.0,0.0,11.0,1043.0,0.0
4,Keonjhar,26,Keonjhar,73,,,,,,,,16.0,383.0,581.0,31.0,1.0,4.0,11.0,4.0,3.0,4.0,1038.0,0.0,11.0,1049.0,0.0
4,Keonjhar,26,Keonjhar,74,,,,,,,,7.0,205.0,209.0,12.0,0.0,2.0,29.0,2.0,1.0,5.0,472.0,0.0,10.0,482.0,0.0
4,Keonjhar,26,Keonjhar,75,,,,,,,,15.0,485.0,237.0,50.0,5.0,12.0,95.0,3.0,9.0,7.0,918.0,0.0,15.0,933.0,0.0
4,Keonjhar,26,Keonjhar,76,,,,,,,,13.0,329.0,438.0,38.0,4.0,6.0,58.0,4.0,1.0,0.0,891.0,0.0,8.0,899.0,0.0
4,Keonjhar,26,Keonjhar,77,,,,,,,,7.0,98.0,147.0,19.0,1.0,4.0,197.0,0.0,1.0,5.0,479.0,0.0,2.0,481.0,0.0
4,Keonjhar,26,Keonjhar,78,,,,,,,,7.0,170.0,137.0,1.0,1.0,2.0,13.0,0.0,1.0,6.0,338.0,0.0,6.0,344.0,0.0
4,Keonjhar,26,Keonjhar,79,,,,,,,,11.0,233.0,251.0,26.0,1.0,1.0,14.0,5.0,5.0,7.0,554.0,0.0,3.0,557.0,0.0
4,Keonjhar,26,Keonjhar,80,,,,,,,,4.0,54.0,211.0,7.0,1.0,4.0,2.0,1.0,1.0,3.0,288.0,0.0,4.0,292.0,0.0
4,Keonjhar,26,Keonjhar,81,,,,,,,,25.0,198.0,321.0,13.0,1.0,2.0,16.0,2.0,4.0,4.0,586.0,0.0,3.0,589.0,0.0
4,Keonjhar,26,Keonjhar,82,,,,,,,,13.0,363.0,290.0,13.0,3.0,2.0,16.0,1.0,2.0,0.0,703.0,0.0,3.0,706.0,0.0
4,Keonjhar,26,Keonjhar,83,,,,,,,,8.0,334.0,350.0,27.0,8.0,7.0,157.0,6.0,3.0,5.0,905.0,0.0,7.0,912.0,0.0
4,Keonjhar,26,Keonjhar,84,,,,,,,,11.0,175.0,399.0,60.0,1.0,0.0,38.0,1.0,1.0,2.0,688.0,0.0,1.0,689.0,0.0
4,Keonjhar,26,Keonjhar,85,,,,,,,,9.0,150.0,221.0,22.0,1.0,1.0,6.0,0.0,0.0,2.0,412.0,0.0,0.0,412.0,0.0
4,Keonjhar,26,Keonjhar,86,,,,,,,,18.0,111.0,387.0,9.0,1.0,7.0,8.0,2.0,1.0,2.0,546.0,0.0,9.0,555.0,0.0
4,Keonjhar,26,Keonjhar,87,,,,,,,,10.0,166.0,201.0,13.0,3.0,9.0,254.0,13.0,16.0,20.0,705.0,0.0,28.0,733.0,0.0
4,Keonjhar,26,Keonjhar,88,,,,,,,,8.0,103.0,205.0,9.0,2.0,3.0,5.0,0.0,4.0,4.0,343.0,0.0,7.0,350.0,0.0
4,Keonjhar,26,Keonjhar,89,,,,,,,,5.0,268.0,281.0,11.0,1.0,2.0,92.0,2.0,4.0,2.0,668.0,0.0,7.0,675.0,0.0
4,Keonjhar,26,Keonjhar,90,,,,,,,,7.0,119.0,157.0,10.0,0.0,2.0,2.0,4.0,0.0,1.0,302.0,0.0,5.0,307.0,0.0
4,Keonjhar,26,Keonjhar,91,,,,,,,,8.0,244.0,281.0,62.0,1.0,3.0,26.0,1.0,1.0,2.0,629.0,0.0,5.0,634.0,0.0
4,Keonjhar,26,Keonjhar,92,,,,,,,,19.0,314.0,347.0,23.0,6.0,6.0,8.0,3.0,4.0,2.0,732.0,0.0,3.0,735.0,0.0
4,Keonjhar,26,Keonjhar,93,,,,,,,,11.0,310.0,272.0,19.0,2.0,11.0,25.0,4.0,5.0,10.0,669.0,0.0,9.0,678.0,0.0
4,Keonjhar,26,Keonjhar,94,,,,,,,,4.0,86.0,162.0,36.0,2.0,4.0,58.0,1.0,2.0,1.0,356.0,0.0,4.0,360.0,0.0
4,Keonjhar,26,Keonjhar,95,,,,,,,,4.0,240.0,466.0,116.0,4.0,1.0,69.0,2.0,4.0,3.0,909.0,0.0,2.0,911.0,0.0
4,Keonjhar,26,Keonjhar,96,,,,,,,,11.0,277.0,332.0,34.0,1.0,0.0,95.0,2.0,5.0,3.0,760.0,0.0,11.0,771.0,0.0
4,Keonjhar,26,Keonjhar,97,,,,,,,,9.0,131.0,187.0,13.0,1.0,2.0,6.0,1.0,0.0,1.0,351.0,0.0,9.0,360.0,0.0
4,Keonjhar,26,Keonjhar,98,,,,,,,,6.0,143.0,146.0,18.0,1.0,3.0,39.0,3.0,1.0,3.0,363.0,0.0,1.0,364.0,0.0
4,Keonjhar,26,Keonjhar,99,,,,,,,,5.0,220.0,193.0,6.0,2.0,6.0,15.0,0.0,3.0,1.0,451.0,0.0,0.0,451.0,0.0
4,Keonjhar,26,Keonjhar,100,,,,,,,,20.0,208.0,259.0,16.0,2.0,7.0,257.0,4.0,6.0,7.0,786.0,0.0,13.0,799.0,0.0
4,Keonjhar,26,Keonjhar,101,,,,,,,,6.0,34.0,91.0,7.0,0.0,0.0,40.0,0.0,1.0,1.0,180.0,0.0,5.0,185.0,0.0
