pc_id,pc_name,ac_id,ac_name,Sl. No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,No. of valid votes cast in favour of,NOTA,Total,No. of tender votes,No . Of rejected votes
17,Puri,116,Pipili,160,,,,,,,,302.0,271.0,86.0,2.0,10.0,2.0,0.0,673.0,2.0,675.0,0,0
17,Puri,116,Pipili,161,,,,,,,,261.0,414.0,95.0,2.0,3.0,2.0,5.0,782.0,4.0,786.0,0,0
17,Puri,116,Pipili,162,,,,,,,,161.0,434.0,105.0,2.0,10.0,1.0,3.0,716.0,5.0,721.0,0,0
17,Puri,116,Pipili,163,,,,,,,,238.0,606.0,205.0,2.0,5.0,3.0,2.0,1061.0,13.0,1074.0,0,0
17,Puri,116,Pipili,164,,,,,,,,279.0,460.0,131.0,1.0,3.0,1.0,0.0,875.0,1.0,876.0,0,0
17,Puri,116,Pipili,165,,,,,,,,332.0,362.0,184.0,6.0,4.0,4.0,7.0,899.0,14.0,913.0,0,0
17,Puri,116,Pipili,166,,,,,,,,338.0,357.0,109.0,3.0,3.0,0.0,0.0,810.0,3.0,813.0,0,0
17,Puri,116,Pipili,167,,,,,,,,251.0,297.0,117.0,1.0,5.0,0.0,2.0,673.0,1.0,674.0,0,0
17,Puri,116,Pipili,168,,,,,,,,111.0,425.0,87.0,2.0,0.0,1.0,0.0,626.0,1.0,627.0,0,0
17,Puri,116,Pipili,169,,,,,,,,143.0,187.0,119.0,3.0,3.0,0.0,2.0,457.0,5.0,462.0,0,0
17,Puri,116,Pipili,170,,,,,,,,136.0,221.0,113.0,2.0,2.0,2.0,1.0,477.0,11.0,488.0,0,0
17,Puri,116,Pipili,171,,,,,,,,315.0,495.0,275.0,0.0,1.0,3.0,0.0,1089.0,4.0,1093.0,0,0
17,Puri,116,Pipili,172,,,,,,,,409.0,316.0,205.0,1.0,4.0,4.0,2.0,941.0,4.0,945.0,0,0
17,Puri,116,Pipili,173,,,,,,,,115.0,326.0,93.0,1.0,1.0,0.0,1.0,537.0,11.0,548.0,0,0
17,Puri,116,Pipili,174,,,,,,,,234.0,383.0,188.0,4.0,5.0,3.0,1.0,818.0,6.0,824.0,0,0
17,Puri,116,Pipili,175,,,,,,,,235.0,237.0,98.0,3.0,3.0,1.0,1.0,578.0,7.0,585.0,0,0
17,Puri,116,Pipili,176,,,,,,,,164.0,296.0,106.0,1.0,0.0,0.0,0.0,567.0,2.0,569.0,0,0
17,Puri,116,Pipili,177,,,,,,,,209.0,381.0,111.0,5.0,0.0,0.0,1.0,707.0,4.0,711.0,0,0
17,Puri,116,Pipili,178,,,,,,,,242.0,325.0,150.0,2.0,1.0,1.0,2.0,723.0,4.0,727.0,0,0
17,Puri,116,Pipili,179,,,,,,,,132.0,314.0,151.0,0.0,3.0,0.0,1.0,601.0,3.0,604.0,0,0
17,Puri,116,Pipili,180,,,,,,,,118.0,288.0,75.0,0.0,1.0,0.0,0.0,482.0,0.0,482.0,0,0
17,Puri,116,Pipili,181,,,,,,,,175.0,257.0,66.0,1.0,0.0,0.0,1.0,500.0,0.0,500.0,0,0
17,Puri,116,Pipili,182,,,,,,,,119.0,264.0,43.0,0.0,2.0,1.0,0.0,429.0,5.0,434.0,0,0
17,Puri,116,Pipili,183,,,,,,,,244.0,458.0,90.0,2.0,5.0,2.0,1.0,802.0,802.0,nan,0,0
17,Puri,116,Pipili,184,,,,,,,,270.0,344.0,120.0,3.0,5.0,0.0,0.0,742.0,4.0,746.0,0,0
17,Puri,116,Pipili,185,,,,,,,,279.0,367.0,148.0,1.0,2.0,0.0,6.0,803.0,7.0,810.0,0,0
17,Puri,116,Pipili,186,,,,,,,,145.0,492.0,130.0,2.0,2.0,0.0,1.0,772.0,3.0,775.0,0,0
17,Puri,116,Pipili,187,,,,,,,,204.0,500.0,146.0,4.0,2.0,1.0,7.0,864.0,17.0,881.0,0,0
17,Puri,116,Pipili,188,,,,,,,,305.0,450.0,207.0,1.0,11.0,0.0,5.0,979.0,5.0,984.0,0,0
17,Puri,116,Pipili,189,,,,,,,,252.0,251.0,82.0,2.0,1.0,0.0,2.0,590.0,1.0,591.0,0,0
17,Puri,116,Pipili,190,,,,,,,,115.0,101.0,72.0,0.0,0.0,2.0,0.0,290.0,3.0,293.0,0,0
17,Puri,116,Pipili,191,,,,,,,,163.0,106.0,51.0,0.0,3.0,0.0,0.0,323.0,4.0,327.0,0,0
17,Puri,116,Pipili,192,,,,,,,,112.0,216.0,43.0,2.0,7.0,0.0,2.0,382.0,0.0,382.0,0,0
17,Puri,116,Pipili,193,,,,,,,,248.0,273.0,192.0,2.0,26.0,0.0,1.0,742.0,2.0,744.0,0,0
17,Puri,116,Pipili,194,,,,,,,,231.0,334.0,228.0,3.0,2.0,3.0,1.0,802.0,1.0,803.0,0,0
17,Puri,116,Pipili,195,,,,,,,,212.0,313.0,202.0,2.0,2.0,2.0,0.0,733.0,1.0,734.0,0,0
17,Puri,116,Pipili,196,,,,,,,,274.0,352.0,181.0,1.0,4.0,0.0,2.0,814.0,1.0,815.0,0,0
17,Puri,116,Pipili,197,,,,,,,,220.0,201.0,133.0,3.0,1.0,2.0,0.0,560.0,3.0,563.0,0,0
17,Puri,116,Pipili,198,,,,,,,,240.0,205.0,128.0,1.0,2.0,0.0,0.0,576.0,4.0,580.0,0,0
17,Puri,116,Pipili,199,,,,,,,,251.0,354.0,232.0,3.0,0.0,0.0,3.0,843.0,11.0,854.0,0,0
17,Puri,116,Pipili,200,,,,,,,,232.0,214.0,158.0,0.0,2.0,0.0,1.0,607.0,9.0,616.0,0,0
17,Puri,116,Pipili,201,,,,,,,,219.0,231.0,111.0,4.0,0.0,0.0,0.0,565.0,2.0,567.0,0,0
17,Puri,116,Pipili,202,,,,,,,,287.0,474.0,215.0,1.0,5.0,1.0,4.0,987.0,5.0,992.0,0,0
17,Puri,116,Pipili,203,,,,,,,,270.0,251.0,65.0,3.0,1.0,0.0,0.0,590.0,0.0,590.0,0,0
17,Puri,116,Pipili,204,,,,,,,,222.0,450.0,155.0,0.0,6.0,2.0,1.0,836.0,4.0,840.0,0,0
17,Puri,116,Pipili,205,,,,,,,,228.0,179.0,61.0,1.0,1.0,1.0,4.0,475.0,3.0,478.0,0,0
17,Puri,116,Pipili,206,,,,,,,,209.0,252.0,79.0,1.0,0.0,1.0,3.0,545.0,3.0,548.0,0,0
17,Puri,116,Pipili,207,,,,,,,,221.0,350.0,94.0,3.0,1.0,0.0,0.0,669.0,4.0,673.0,0,0
17,Puri,116,Pipili,208,,,,,,,,255.0,351.0,91.0,0.0,2.0,4.0,3.0,706.0,1.0,707.0,0,0
17,Puri,116,Pipili,209,,,,,,,,257.0,284.0,102.0,2.0,0.0,0.0,3.0,648.0,6.0,654.0,0,0
17,Puri,116,Pipili,210,,,,,,,,96.0,233.0,149.0,2.0,0.0,1.0,1.0,482.0,1.0,483.0,0,0
17,Puri,116,Pipili,211,,,,,,,,343.0,174.0,55.0,4.0,1.0,3.0,0.0,580.0,2.0,582.0,0,0
17,Puri,116,Pipili,212,,,,,,,,329.0,259.0,162.0,4.0,6.0,1.0,3.0,764.0,7.0,771.0,0,0
17,Puri,116,Pipili,213,,,,,,,,289.0,295.0,147.0,1.0,2.0,2.0,1.0,737.0,4.0,741.0,0,0
17,Puri,116,Pipili,214,,,,,,,,174.0,132.0,57.0,1.0,0.0,1.0,1.0,366.0,1.0,367.0,0,0
17,Puri,116,Pipili,215,,,,,,,,256.0,332.0,146.0,1.0,2.0,2.0,1.0,740.0,3.0,743.0,0,0
17,Puri,116,Pipili,216,,,,,,,,199.0,206.0,88.0,1.0,0.0,2.0,1.0,497.0,3.0,500.0,0,0
17,Puri,116,Pipili,217,,,,,,,,88.0,193.0,83.0,0.0,1.0,1.0,0.0,366.0,4.0,370.0,0,0
17,Puri,116,Pipili,218,,,,,,,,390.0,316.0,157.0,2.0,1.0,1.0,1.0,868.0,0.0,868.0,0,0
17,Puri,116,Pipili,219,,,,,,,,154.0,283.0,99.0,1.0,1.0,2.0,0.0,540.0,1.0,541.0,0,0
