pc_id,pc_name,ac_id,ac_name,Sl. No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total of valid votes,No. of Rejected votes,NOTA,Total,No. of tendered votes
16,Jagatsinghpur,105,Nimapara,1,,,,,,,,2.0,301.0,125.0,233.0,3.0,7.0,671,0,11.0,682,0.0
16,Jagatsinghpur,105,Nimapara,2,,,,,,,,2.0,288.0,165.0,200.0,2.0,2.0,659,0,7.0,666,0.0
16,Jagatsinghpur,105,Nimapara,3,,,,,,,,3.0,397.0,31.0,140.0,2.0,2.0,575,0,11.0,586,0.0
16,Jagatsinghpur,105,Nimapara,4,,,,,,,,1.0,353.0,26.0,139.0,1.0,0.0,520,0,2.0,522,0.0
16,Jagatsinghpur,105,Nimapara,5,,,,,,,,4.0,206.0,66.0,139.0,3.0,1.0,419,0,2.0,421,0.0
16,Jagatsinghpur,105,Nimapara,6,,,,,,,,12.0,275.0,467.0,167.0,6.0,3.0,930,0,3.0,933,0.0
16,Jagatsinghpur,105,Nimapara,7,,,,,,,,4.0,361.0,143.0,64.0,0.0,3.0,575,0,6.0,581,0.0
16,Jagatsinghpur,105,Nimapara,8,,,,,,,,4.0,274.0,113.0,87.0,2.0,1.0,481,0,1.0,482,0.0
16,Jagatsinghpur,105,Nimapara,9,,,,,,,,8.0,425.0,288.0,125.0,1.0,0.0,847,0,2.0,849,0.0
16,Jagatsinghpur,105,Nimapara,10,,,,,,,,1.0,275.0,193.0,100.0,0.0,0.0,569,0,0.0,569,0.0
16,Jagatsinghpur,105,Nimapara,11,,,,,,,,3.0,242.0,176.0,56.0,1.0,2.0,480,0,5.0,485,0.0
16,Jagatsinghpur,105,Nimapara,12,,,,,,,,4.0,280.0,84.0,131.0,3.0,3.0,505,0,1.0,506,0.0
16,Jagatsinghpur,105,Nimapara,13,,,,,,,,1.0,239.0,101.0,88.0,1.0,1.0,431,0,1.0,432,0.0
16,Jagatsinghpur,105,Nimapara,14,,,,,,,,4.0,424.0,251.0,212.0,3.0,0.0,894,0,1.0,895,0.0
16,Jagatsinghpur,105,Nimapara,15,,,,,,,,5.0,426.0,185.0,135.0,2.0,1.0,754,0,7.0,761,0.0
16,Jagatsinghpur,105,Nimapara,16,,,,,,,,2.0,271.0,84.0,89.0,3.0,0.0,449,0,1.0,450,0.0
16,Jagatsinghpur,105,Nimapara,17,,,,,,,,5.0,455.0,208.0,205.0,5.0,4.0,882,0,4.0,886,0.0
16,Jagatsinghpur,105,Nimapara,18,,,,,,,,0.0,350.0,186.0,171.0,5.0,4.0,716,0,5.0,721,0.0
16,Jagatsinghpur,105,Nimapara,19,,,,,,,,9.0,178.0,303.0,203.0,1.0,4.0,698,0,6.0,704,0.0
16,Jagatsinghpur,105,Nimapara,20,,,,,,,,7.0,317.0,231.0,227.0,7.0,3.0,792,0,4.0,796,0.0
16,Jagatsinghpur,105,Nimapara,21,,,,,,,,0.0,294.0,114.0,162.0,1.0,1.0,572,0,6.0,578,0.0
16,Jagatsinghpur,105,Nimapara,22,,,,,,,,5.0,391.0,220.0,224.0,3.0,5.0,848,0,5.0,853,0.0
16,Jagatsinghpur,105,Nimapara,23,,,,,,,,3.0,507.0,198.0,312.0,2.0,0.0,1022,0,5.0,1027,0.0
16,Jagatsinghpur,105,Nimapara,24,,,,,,,,4.0,390.0,135.0,195.0,3.0,0.0,727,0,6.0,733,0.0
16,Jagatsinghpur,105,Nimapara,25,,,,,,,,2.0,266.0,76.0,157.0,0.0,0.0,501,0,4.0,505,0.0
16,Jagatsinghpur,105,Nimapara,26,,,,,,,,10.0,208.0,320.0,170.0,2.0,0.0,710,0,5.0,715,0.0
16,Jagatsinghpur,105,Nimapara,27,,,,,,,,7.0,220.0,294.0,100.0,2.0,5.0,628,0,6.0,634,0.0
16,Jagatsinghpur,105,Nimapara,28,,,,,,,,3.0,442.0,185.0,167.0,4.0,1.0,802,0,7.0,809,0.0
16,Jagatsinghpur,105,Nimapara,29,,,,,,,,12.0,271.0,223.0,245.0,2.0,3.0,756,0,5.0,761,0.0
16,Jagatsinghpur,105,Nimapara,30,,,,,,,,0.0,168.0,122.0,165.0,6.0,1.0,462,0,4.0,466,0.0
16,Jagatsinghpur,105,Nimapara,31,,,,,,,,4.0,234.0,88.0,142.0,3.0,2.0,473,0,3.0,476,0.0
16,Jagatsinghpur,105,Nimapara,32,,,,,,,,4.0,229.0,172.0,201.0,6.0,2.0,614,0,7.0,621,0.0
16,Jagatsinghpur,105,Nimapara,33,,,,,,,,3.0,140.0,129.0,76.0,2.0,1.0,351,0,0.0,351,0.0
