pc_id,pc_name,ac_id,ac_name,Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of valid votes,No. of rejected,NOTA,Total,No. of tendered votes
13,Kandhamal,84,Bhanjanagar,1,,,,,,,,453.0,43.0,97.0,4.0,8.0,11.0,14.0,10.0,640.0,0.0,12.0,652.0,0.0
13,Kandhamal,84,Bhanjanagar,2,,,,,,,,232.0,35.0,8.0,3.0,0.0,1.0,0.0,0.0,279.0,0.0,3.0,282.0,0.0
13,Kandhamal,84,Bhanjanagar,3,,,,,,,,630.0,76.0,104.0,8.0,8.0,9.0,7.0,14.0,856.0,0.0,16.0,872.0,0.0
13,Kandhamal,84,Bhanjanagar,4,,,,,,,,324.0,165.0,92.0,4.0,2.0,1.0,5.0,5.0,598.0,0.0,3.0,601.0,0.0
13,Kandhamal,84,Bhanjanagar,5,,,,,,,,302.0,61.0,83.0,5.0,2.0,2.0,9.0,6.0,470.0,0.0,8.0,478.0,0.0
13,Kandhamal,84,Bhanjanagar,6,,,,,,,,381.0,110.0,83.0,3.0,2.0,6.0,5.0,1.0,591.0,0.0,13.0,604.0,0.0
13,Kandhamal,84,Bhanjanagar,7,,,,,,,,522.0,117.0,174.0,6.0,2.0,8.0,4.0,8.0,841.0,0.0,9.0,850.0,0.0
13,Kandhamal,84,Bhanjanagar,8,,,,,,,,199.0,99.0,67.0,6.0,4.0,1.0,3.0,1.0,380.0,0.0,8.0,388.0,0.0
13,Kandhamal,84,Bhanjanagar,9,,,,,,,,600.0,33.0,49.0,2.0,2.0,3.0,3.0,3.0,695.0,0.0,7.0,702.0,0.0
13,Kandhamal,84,Bhanjanagar,10,,,,,,,,219.0,12.0,32.0,1.0,3.0,2.0,2.0,3.0,274.0,0.0,4.0,278.0,0.0
13,Kandhamal,84,Bhanjanagar,11,,,,,,,,372.0,135.0,69.0,19.0,21.0,9.0,9.0,3.0,637.0,0.0,8.0,645.0,0.0
