pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Total of Valid votes,No. of Rejected votes,NOTA,Total,No. of Tendered Votes
8,Jajpur,55,Korei,181,,,,,,,,357.0,29.0,32.0,330.0,4.0,4.0,2.0,1.0,3.0,0.0,2.0,764.0,0.0,9.0,773.0,2.0
8,Jajpur,55,Korei,182,,,,,,,,388.0,9.0,38.0,259.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,702.0,0.0,4.0,706.0,3.0
8,Jajpur,55,Korei,183,,,,,,,,360.0,4.0,73.0,253.0,4.0,2.0,5.0,2.0,1.0,1.0,3.0,708.0,0.0,3.0,711.0,0.0
8,Jajpur,55,Korei,184,,,,,,,,267.0,0.0,65.0,217.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,555.0,0.0,7.0,562.0,0.0
8,Jajpur,55,Korei,185,,,,,,,,368.0,5.0,47.0,354.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,780.0,0.0,3.0,783.0,0.0
8,Jajpur,55,Korei,186,,,,,,,,261.0,2.0,157.0,399.0,1.0,7.0,8.0,0.0,0.0,1.0,0.0,836.0,0.0,12.0,848.0,0.0
8,Jajpur,55,Korei,187,,,,,,,,330.0,2.0,61.0,259.0,1.0,10.0,14.0,1.0,0.0,1.0,0.0,679.0,0.0,4.0,683.0,0.0
8,Jajpur,55,Korei,188,,,,,,,,341.0,0.0,101.0,332.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,786.0,0.0,4.0,790.0,0.0
8,Jajpur,55,Korei,189,,,,,,,,380.0,2.0,86.0,333.0,3.0,2.0,2.0,0.0,0.0,1.0,4.0,813.0,0.0,11.0,824.0,0.0
8,Jajpur,55,Korei,190,,,,,,,,485.0,1.0,54.0,385.0,1.0,4.0,5.0,0.0,1.0,1.0,0.0,937.0,0.0,10.0,947.0,3.0
8,Jajpur,55,Korei,191,,,,,,,,430.0,3.0,110.0,304.0,2.0,8.0,2.0,2.0,1.0,3.0,2.0,867.0,0.0,17.0,884.0,0.0
8,Jajpur,55,Korei,192,,,,,,,,137.0,0.0,39.0,115.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,297.0,0.0,7.0,304.0,0.0
8,Jajpur,55,Korei,193,,,,,,,,489.0,2.0,88.0,324.0,4.0,3.0,5.0,2.0,1.0,1.0,0.0,919.0,0.0,7.0,926.0,0.0
8,Jajpur,55,Korei,194,,,,,,,,513.0,3.0,73.0,367.0,0.0,4.0,4.0,1.0,1.0,1.0,1.0,968.0,0.0,7.0,975.0,0.0
8,Jajpur,55,Korei,195,,,,,,,,422.0,0.0,64.0,200.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,693.0,0.0,8.0,701.0,0.0
8,Jajpur,55,Korei,196,,,,,,,,347.0,5.0,91.0,358.0,3.0,5.0,2.0,2.0,1.0,3.0,0.0,817.0,0.0,2.0,819.0,0.0
8,Jajpur,55,Korei,197,,,,,,,,355.0,1.0,86.0,270.0,1.0,3.0,2.0,0.0,2.0,2.0,3.0,725.0,0.0,4.0,729.0,0.0
8,Jajpur,55,Korei,198,,,,,,,,294.0,1.0,55.0,156.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,509.0,0.0,7.0,516.0,0.0
8,Jajpur,55,Korei,199,,,,,,,,172.0,1.0,81.0,251.0,0.0,3.0,0.0,0.0,1.0,23.0,2.0,534.0,0.0,9.0,543.0,0.0
8,Jajpur,55,Korei,200,,,,,,,,209.0,8.0,27.0,226.0,4.0,1.0,1.0,1.0,1.0,7.0,0.0,485.0,0.0,7.0,492.0,0.0
8,Jajpur,55,Korei,201,,,,,,,,227.0,3.0,120.0,423.0,11.0,2.0,2.0,1.0,3.0,0.0,2.0,794.0,0.0,9.0,803.0,1.0
8,Jajpur,55,Korei,202,,,,,,,,344.0,4.0,85.0,471.0,28.0,3.0,3.0,5.0,3.0,2.0,3.0,951.0,0.0,6.0,957.0,0.0
8,Jajpur,55,Korei,203,,,,,,,,319.0,5.0,113.0,461.0,5.0,2.0,1.0,3.0,3.0,3.0,2.0,917.0,0.0,4.0,921.0,0.0
8,Jajpur,55,Korei,204,,,,,,,,271.0,6.0,50.0,380.0,4.0,4.0,3.0,5.0,2.0,1.0,2.0,728.0,0.0,4.0,732.0,0.0
8,Jajpur,55,Korei,205,,,,,,,,247.0,3.0,121.0,353.0,3.0,4.0,3.0,1.0,0.0,0.0,2.0,737.0,0.0,3.0,740.0,0.0
8,Jajpur,55,Korei,206,,,,,,,,180.0,2.0,38.0,216.0,0.0,0.0,1.0,1.0,0.0,4.0,4.0,446.0,0.0,11.0,457.0,0.0
8,Jajpur,55,Korei,207,,,,,,,,203.0,3.0,67.0,490.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,764.0,0.0,0.0,764.0,0.0
8,Jajpur,55,Korei,208,,,,,,,,238.0,3.0,48.0,393.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,702.0,0.0,5.0,707.0,0.0
8,Jajpur,55,Korei,209,,,,,,,,271.0,12.0,83.0,326.0,4.0,5.0,3.0,5.0,2.0,4.0,8.0,723.0,0.0,6.0,729.0,0.0
8,Jajpur,55,Korei,210,,,,,,,,176.0,7.0,70.0,277.0,5.0,2.0,0.0,0.0,0.0,0.0,5.0,542.0,0.0,8.0,550.0,0.0
8,Jajpur,55,Korei,211,,,,,,,,93.0,2.0,42.0,153.0,2.0,0.0,1.0,0.0,1.0,1.0,4.0,299.0,0.0,2.0,301.0,0.0
8,Jajpur,55,Korei,212,,,,,,,,113.0,4.0,147.0,287.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,560.0,0.0,4.0,564.0,0.0
8,Jajpur,55,Korei,213,,,,,,,,324.0,2.0,29.0,434.0,3.0,1.0,1.0,2.0,2.0,0.0,1.0,799.0,0.0,5.0,804.0,0.0
8,Jajpur,55,Korei,214,,,,,,,,353.0,38.0,25.0,523.0,3.0,0.0,3.0,1.0,2.0,2.0,6.0,956.0,0.0,9.0,965.0,0.0
8,Jajpur,55,Korei,215,,,,,,,,264.0,10.0,41.0,508.0,2.0,1.0,5.0,4.0,3.0,0.0,5.0,843.0,0.0,4.0,847.0,0.0
8,Jajpur,55,Korei,216,,,,,,,,463.0,67.0,40.0,389.0,3.0,2.0,4.0,4.0,0.0,0.0,2.0,974.0,0.0,5.0,979.0,0.0
8,Jajpur,55,Korei,217,,,,,,,,359.0,2.0,133.0,352.0,5.0,2.0,2.0,3.0,1.0,0.0,1.0,860.0,0.0,6.0,866.0,1.0
8,Jajpur,55,Korei,218,,,,,,,,302.0,2.0,42.0,269.0,2.0,1.0,1.0,2.0,0.0,1.0,3.0,625.0,0.0,1.0,626.0,0.0
8,Jajpur,55,Korei,219,,,,,,,,244.0,7.0,15.0,231.0,3.0,0.0,0.0,1.0,2.0,0.0,8.0,511.0,0.0,3.0,514.0,0.0
8,Jajpur,55,Korei,220,,,,,,,,111.0,1.0,97.0,255.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,473.0,0.0,1.0,474.0,0.0
8,Jajpur,55,Korei,221,,,,,,,,197.0,1.0,150.0,240.0,2.0,0.0,2.0,1.0,5.0,2.0,5.0,605.0,0.0,12.0,617.0,0.0
8,Jajpur,55,Korei,222,,,,,,,,247.0,1.0,58.0,237.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,545.0,0.0,2.0,547.0,0.0
8,Jajpur,55,Korei,223,,,,,,,,213.0,17.0,132.0,477.0,2.0,0.0,1.0,0.0,1.0,3.0,2.0,848.0,0.0,8.0,856.0,0.0
8,Jajpur,55,Korei,224,,,,,,,,235.0,0.0,141.0,334.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,719.0,0.0,3.0,722.0,0.0
8,Jajpur,55,Korei,225,,,,,,,,267.0,3.0,79.0,326.0,2.0,2.0,0.0,1.0,4.0,1.0,3.0,688.0,0.0,5.0,693.0,0.0
8,Jajpur,55,Korei,226,,,,,,,,255.0,4.0,96.0,284.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,643.0,0.0,5.0,648.0,0.0
8,Jajpur,55,Korei,227,,,,,,,,369.0,4.0,109.0,370.0,4.0,1.0,5.0,1.0,1.0,0.0,0.0,864.0,0.0,2.0,866.0,0.0
8,Jajpur,55,Korei,228,,,,,,,,155.0,2.0,245.0,359.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,770.0,0.0,1.0,771.0,0.0
8,Jajpur,55,Korei,229,,,,,,,,246.0,1.0,49.0,284.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,589.0,0.0,1.0,590.0,0.0
8,Jajpur,55,Korei,230,,,,,,,,225.0,0.0,40.0,403.0,4.0,5.0,1.0,2.0,2.0,8.0,1.0,691.0,0.0,13.0,704.0,0.0
8,Jajpur,55,Korei,231,,,,,,,,106.0,1.0,12.0,260.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,387.0,0.0,2.0,389.0,0.0
8,Jajpur,55,Korei,232,,,,,,,,426.0,3.0,55.0,455.0,5.0,2.0,3.0,2.0,2.0,3.0,2.0,958.0,0.0,8.0,966.0,0.0
8,Jajpur,55,Korei,233,,,,,,,,284.0,3.0,55.0,506.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,852.0,0.0,3.0,855.0,0.0
8,Jajpur,55,Korei,234,,,,,,,,224.0,2.0,35.0,345.0,4.0,1.0,0.0,1.0,5.0,1.0,1.0,619.0,0.0,3.0,622.0,0.0
8,Jajpur,55,Korei,235,,,,,,,,377.0,20.0,68.0,373.0,6.0,1.0,1.0,5.0,1.0,1.0,2.0,855.0,0.0,1.0,856.0,0.0
8,Jajpur,55,Korei,236,,,,,,,,267.0,0.0,16.0,196.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,486.0,0.0,7.0,493.0,0.0
8,Jajpur,55,Korei,237,,,,,,,,338.0,1.0,53.0,283.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0,683.0,0.0,0.0,683.0,0.0
8,Jajpur,55,Korei,238,,,,,,,,120.0,3.0,94.0,171.0,3.0,0.0,2.0,0.0,2.0,0.0,2.0,397.0,0.0,1.0,398.0,0.0
8,Jajpur,55,Korei,239,,,,,,,,237.0,3.0,84.0,447.0,3.0,4.0,2.0,3.0,2.0,2.0,5.0,792.0,0.0,12.0,804.0,0.0
8,Jajpur,55,Korei,240,,,,,,,,212.0,1.0,91.0,322.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,633.0,0.0,3.0,636.0,0.0
8,Jajpur,55,Korei,241,,,,,,,,278.0,1.0,23.0,290.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,599.0,0.0,1.0,600.0,0.0
8,Jajpur,55,Korei,242,,,,,,,,296.0,2.0,53.0,267.0,4.0,0.0,2.0,3.0,2.0,2.0,3.0,634.0,0.0,5.0,639.0,0.0
8,Jajpur,55,Korei,243,,,,,,,,243.0,0.0,38.0,324.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,0.0,0.0,616.0,0.0
8,Jajpur,55,Korei,244,,,,,,,,152.0,3.0,110.0,288.0,3.0,0.0,1.0,2.0,1.0,2.0,6.0,568.0,0.0,7.0,575.0,0.0
8,Jajpur,55,Korei,245,,,,,,,,127.0,2.0,21.0,446.0,4.0,0.0,2.0,5.0,1.0,1.0,2.0,611.0,0.0,4.0,615.0,0.0
