pc_id,pc_name,ac_id,ac_name,candidate name,candidate number
4,Keonjhar,27,Champua,Amar Singh Tudu,1
4,Keonjhar,27,Champua,Dr. Budhan Murmu,2
4,Keonjhar,27,Champua,Ishwar Chandra Baskey,3
4,Keonjhar,27,Champua,Mahesh Chandra Hembram,4
4,Keonjhar,27,Champua,Sakila Tudu,5
4,Keonjhar,27,Champua,Iswar Chandra Barda,6
4,Keonjhar,27,Champua,Er. Rama Chandra Hansdah,7
4,Keonjhar,27,Champua,Sudarshan Murmu,8
4,Keonjhar,27,Champua,Somanath Majhi,9
4,Keonjhar,27,Champua,Hemanta Kumar Soren,10
