pc_id,pc_name,ac_id,ac_name,candidate name,candidate number
3,Sambalpur,19,Deogarh,Uma Shankar Sahu,1
3,Sambalpur,19,Deogarh,Kandarpa Patra,2
3,Sambalpur,19,Deogarh,Romancha Ranjan Biswal,3
3,Sambalpur,19,Deogarh,Subash chandra Panigrahi,4
3,Sambalpur,19,Deogarh,Alaka Pradhan,5
3,Sambalpur,19,Deogarh,Dolakara Bhoi,6
3,Sambalpur,19,Deogarh,Satyabrata Panigrahi,7
3,Sambalpur,19,Deogarh,Dolagobinda Naik,8
3,Sambalpur,19,Deogarh,Narendra Kumar Pradhan,9
3,Sambalpur,19,Deogarh,Prahallad Charan Garnayak,10
3,Sambalpur,19,Deogarh,Manoranjan Mishra,11
3,Sambalpur,19,Deogarh,Mukesh Kumar Mahanaik,12
3,Sambalpur,19,Deogarh,Romanchal Khadiratna,13
