pc_id,pc_name,ac_id,ac_name,candidate name,candidate number
5,Mayurbhanj,29,Jashipur,SUGDA MURMU,1
5,Mayurbhanj,29,Jashipur,SUDAM MARNDI,2
5,Mayurbhanj,29,Jashipur,DEBENDRANATH SINGH,3
5,Mayurbhanj,29,Jashipur,PITAMBAR NAIK,4
5,Mayurbhanj,29,Jashipur,FAGU HANSDAH,5
5,Mayurbhanj,29,Jashipur,BHARAT CHANDRA SINGH,6
5,Mayurbhanj,29,Jashipur,SUNDAR MOHAN SINGH,7
5,Mayurbhanj,29,Jashipur,JITENDRA KUMAR SINGH,8
5,Mayurbhanj,29,Jashipur,PURUSOTAM NAIK,9
5,Mayurbhanj,29,Jashipur,RATNAKAR MURMU,10
5,Mayurbhanj,29,Jashipur,RABINDRA NATH SINGH,11
