pc_id,pc_name,ac_id,ac_name,candidate name,candidate number
5,Mayurbhanj,34,Baripada,Dr. Krushna Chandra Mahapatra,1
5,Mayurbhanj,34,Baripada,Bishwambar Das,2
5,Mayurbhanj,34,Baripada,Srinath Mohanta,3
5,Mayurbhanj,34,Baripada,Sasmita Dhal,4
5,Mayurbhanj,34,Baripada,Hemasmita Naik,5
5,Mayurbhanj,34,Baripada,Girendra Kumar Goswami,6
5,Mayurbhanj,34,Baripada,Narendra Pradhan,7
5,Mayurbhanj,34,Baripada,Pravash Kar Mohapatra,8
5,Mayurbhanj,34,Baripada,Rajkishore Das,9
5,Mayurbhanj,34,Baripada,Kalinga Keshari Jena,10
5,Mayurbhanj,34,Baripada,Radhakrishna Mohanta,11
5,Mayurbhanj,34,Baripada,Santosh Kumar Si,12
5,Mayurbhanj,34,Baripada,Tarun Kumar Muduli,13
