pc_id,pc_name,ac_id,ac_name,candidate name,candidate number
2,Sundargar,13,Rajgangpur,Narasingha Minz,1
2,Sundargar,13,Rajgangpur,Mangala Kisan,2
2,Sundargar,13,Rajgangpur,C S Raazen Ekka,3
2,Sundargar,13,Rajgangpur,Anand Ekka,4
2,Sundargar,13,Rajgangpur,Parua Ekka,5
2,Sundargar,13,Rajgangpur,Patras Tete,6
2,Sundargar,13,Rajgangpur,Arthar Soreng,7
2,Sundargar,13,Rajgangpur,Dasarathi Lakra,8
2,Sundargar,13,Rajgangpur,Nishben Samad,9
2,Sundargar,13,Rajgangpur,Gregory Minz,10
2,Sundargar,13,Rajgangpur,Priyadarshini Bhoi,11
2,Sundargar,13,Rajgangpur,Siprian William Kiro,12
2,Sundargar,13,Rajgangpur,Sushil Kumar Lakra,13
