pc_id,pc_name,ac_id,ac_name,candidate name,candidate number
12,Nabarangpur,81,Dabugam,Annirudhha Padhan,1
12,Nabarangpur,81,Dabugam,Chhitaranjan Mandal,2
12,Nabarangpur,81,Dabugam,Pravakar Nag,3
12,Nabarangpur,81,Dabugam,Bhupindra Singh,4
12,Nabarangpur,81,Dabugam,Gabhira Suna,5
12,Nabarangpur,81,Dabugam,Durjyodhan Das,6
12,Nabarangpur,81,Dabugam,Mahendra Dh. Majhi,7
12,Nabarangpur,81,Dabugam,Kedernath Rana,8
12,Nabarangpur,81,Dabugam,Durgaprasa Mohanty,9
12,Nabarangpur,81,Dabugam,Manoj Ku. Pattanayak,10
