pc_id,pc_name,ac_id,ac_name,candidate name,candidate number
14,Cuttack,91,Khandapada,Jagadish Chandra Mohanty,1
14,Cuttack,91,Khandapada,Naba Kishore Das,2
14,Cuttack,91,Khandapada,Nayan Kishore Mohanty,3
14,Cuttack,91,Khandapada,Souvic Biswal,4
14,Cuttack,91,Khandapada,Biswaranjan Jethy,5
14,Cuttack,91,Khandapada,Sasmita Mohanty,6
14,Cuttack,91,Khandapada,Deepak Kumar Barik,7
14,Cuttack,91,Khandapada,Prasna Kumari Nayak,8
14,Cuttack,91,Khandapada,Ranjeet Mallick,9
14,Cuttack,91,Khandapada,Subhendu Mohanty,10
14,Cuttack,91,Khandapada,Sameer Kumar Sahoo,11
