pc_id,pc_name,ac_id,ac_name,candidate name,candidate number
4,Keonjhar,26,Keonjhar,AKSHAY KUMAR NAIK,1
4,Keonjhar,26,Keonjhar,GANESH RAM SING KHUNTIA,2
4,Keonjhar,26,Keonjhar,GOLAKBIHARI NAYAK,3
4,Keonjhar,26,Keonjhar,MAHENDRA NATH NAYAK,4
4,Keonjhar,26,Keonjhar,JAGANNATH SOREN,5
4,Keonjhar,26,Keonjhar,NALINI RANJAN HEMBRAM,6
4,Keonjhar,26,Keonjhar,SHAMBHU NATH NAIK,7
4,Keonjhar,26,Keonjhar,SUNARAM MURMU,8
4,Keonjhar,26,Keonjhar,BIJAY KUMAR NAIK,9
4,Keonjhar,26,Keonjhar,MANAGOVINDA NAYAK,10
