pc_id,pc_name,ac_id,ac_name,candidate name,candidate number
17,Puri,113,Puri,APARAJITA MOHANTY,1
17,Puri,113,Puri,ABHIMANYU NAIK,2
17,Puri,113,Puri,ITISH KUMAR PRADHAN,3
17,Puri,113,Puri,PRAVATA KUMAR SRICHANDAN,4
17,Puri,113,Puri,SUSANT KUMAR ROUT,5
17,Puri,113,Puri,DR. AKSHAYA KUMAR BARIK,6
17,Puri,113,Puri,UMESH CHANDRA DAS,7
17,Puri,113,Puri,PRADEEP KUMAR SAHOO,8
17,Puri,113,Puri,MAHENDRA KUMAR PARIDA,9
17,Puri,113,Puri,RAJENDRA PRASAD BARIK,10
17,Puri,113,Puri,ASUTOSH SAMANTARAY,11
17,Puri,113,Puri,JUGANSU SEKHAR PANDA,12
17,Puri,113,Puri,RAJ KUMAR ROUT,13
17,Puri,113,Puri,SATYA RANJAN NAYAK,14
17,Puri,113,Puri,SUDHANSHUBALA DAS,15
17,Puri,113,Puri,SUMIT ROYCHOWDHURY,16
