pc_id,pc_name,ac_id,ac_name,candidate name,candidate number
15,Kendrapara ,100,Mahanga,ATANU SABYASACHI NAYAK,1
15,Kendrapara ,100,Mahanga,ADHIR NATH SARMA,2
15,Kendrapara ,100,Mahanga,BIJAY PRADHAN,3
15,Kendrapara ,100,Mahanga,BIBHRANSU SEKAHAR LENKA,4
15,Kendrapara ,100,Mahanga,ASUTOSH MAHARANA,5
15,Kendrapara ,100,Mahanga,RRANJITA KANUNGO,6
15,Kendrapara ,100,Mahanga,DEBENDRA ROUT,7
15,Kendrapara ,100,Mahanga,PADMANAV CHOUDHURY,8
15,Kendrapara ,100,Mahanga,BHIMA SEN SETHY,9
15,Kendrapara ,100,Mahanga,MAMATA SAMANTARAY,10
