pc_id,pc_name,ac_id,ac_name,candidate name,candidate number
14,Cuttack,94,Athagarh,Prakash Chandra Behera,1
14,Cuttack,94,Athagarh,Prasanta Behera,2
14,Cuttack,94,Athagarh,Jasobanta Jena,3
14,Cuttack,94,Athagarh,Rabindra Nath Kar,4
14,Cuttack,94,Athagarh,Bishnu Charan Das,5
14,Cuttack,94,Athagarh,Shaikh Kamiluddin Ahemad,6
14,Cuttack,94,Athagarh,Subrat Kumar Lenka,7
14,Cuttack,94,Athagarh,Jotiprasad Pati,8
14,Cuttack,94,Athagarh,Bibhu Padarbinda Nayak,9
14,Cuttack,94,Athagarh,Sayad Mohammad Farzan,10
