pc_id,pc_name,ac_id,ac_name,candidate name,candidate number
6,Balasore,38,Bhograi,Jiban Pradip Dash,1
6,Balasore,38,Bhograi,Madan Mohan Dutta,2
6,Balasore,38,Bhograi,Manas Ranjan Das Pattanaik,3
6,Balasore,38,Bhograi,Mayadhar Behera,4
6,Balasore,38,Bhograi,Munci Abdul Maheraj Alli,5
6,Balasore,38,Bhograi,Prakash Lenka,6
6,Balasore,38,Bhograi,Pratap Chandra Mohanty,7
6,Balasore,38,Bhograi,Sarbeswar Mishra,8
6,Balasore,38,Bhograi,Sadhana Das,9
6,Balasore,38,Bhograi,SK Samiruddin,10
6,Balasore,38,Bhograi,Gajendra Bhuyan,11
6,Balasore,38,Bhograi,Manoj Kumar Nayak,12
