pc_id,pc_name,ac_id,ac_name,candidate name,candidate number
8,Jajpur,55,Korei,"Krushna Chandra Patra,BJP",1
8,Jajpur,55,Korei,"Ganeswar Pradhan,BSP",2
8,Jajpur,55,Korei,"Nabin Nanda,INC",3
8,Jajpur,55,Korei,"Sudhir Kumar samal,BJD",4
8,Jajpur,55,Korei,"Akshaya Rout,SKD",5
8,Jajpur,55,Korei,"Ashish Kumar Mishra,AAP",6
8,Jajpur,55,Korei,"Patitapaban Mishra,AIFB",7
8,Jajpur,55,Korei,"Bikash Nayak,HND",8
8,Jajpur,55,Korei,"Bhajaman Rout,SUCI (C )",9
8,Jajpur,55,Korei,"Gudia Sharma,Independent",10
8,Jajpur,55,Korei,"Meghanada Nanda,Independent",11
