pc_id,pc_name,ac_id,ac_name,candidate name,candidate number
4,Keonjhar,25,Patna,Kailash Chandra Tanti,1
4,Keonjhar,25,Patna,Minakshi Mahanta,2
4,Keonjhar,25,Patna,Murali Manohar Sharma,3
4,Keonjhar,25,Patna,Jadumani Barik,4
4,Keonjhar,25,Patna,Ganga Mahakud,5
4,Keonjhar,25,Patna,Dinabandhu Kar,6
4,Keonjhar,25,Patna,Pancharatna Mahakud,7
4,Keonjhar,25,Patna,Purna Chandra Mahanta,8
4,Keonjhar,25,Patna,Ratikanta Parida,9
4,Keonjhar,25,Patna,Rajen Munda,10
4,Keonjhar,25,Patna,Sushil Kumar Mahanta,11
4,Keonjhar,25,Patna,Gurubux Singh Ahluwalia,12
4,Keonjhar,25,Patna,Trilochan Palei,13
4,Keonjhar,25,Patna,Mahendra Kumar Giri,14
4,Keonjhar,25,Patna,Srimanta Kumar Tripathy,15
4,Keonjhar,25,Patna,Sahadev Behera,16
