pc_id,pc_name,ac_id,ac_name,candidate name,candidate number
5,Mayurbhanj,30,Saraskana,JABAMANI TUDU,1
5,Mayurbhanj,30,Saraskana,SUBASH CHANDRA HEMBRAM,2
5,Mayurbhanj,30,Saraskana,PADMA CHARAN HAIBURU,3
5,Mayurbhanj,30,Saraskana,BASANTI HEMBRAM,4
5,Mayurbhanj,30,Saraskana,SUDAM CHARAN NAIK,5
5,Mayurbhanj,30,Saraskana,BAJURAM SIDU,6
5,Mayurbhanj,30,Saraskana,RAGHUNATH NAYAK,7
5,Mayurbhanj,30,Saraskana,BAIDYANATH SING,8
5,Mayurbhanj,30,Saraskana,SAMAI CHARAN PURTY,9
5,Mayurbhanj,30,Saraskana,SUJIT KUMAR LUGUN,10
