pc_id,pc_name,ac_id,ac_name,candidate name,candidate number
15,Kendrapara ,98,Mahakalapada,DEBENDRA SHARMA,1
15,Kendrapara ,98,Mahakalapada,DOLAGOBINDA NAYAK,2
15,Kendrapara ,98,Mahakalapada,PRATAP KESHARI DEB,3
15,Kendrapara ,98,Mahakalapada,SUDHAKAR MALLIK,4
15,Kendrapara ,98,Mahakalapada,JAYANTA KUMAR MALLIK,5
15,Kendrapara ,98,Mahakalapada,BIDHAN CHANDRA DAS,6
15,Kendrapara ,98,Mahakalapada,PRAVAT KUMAR MALLIK,7
15,Kendrapara ,98,Mahakalapada,RADHANATH RAY,8
15,Kendrapara ,98,Mahakalapada,SATYAJIT SWAIN,9
15,Kendrapara ,98,Mahakalapada,SUJATA BARIK,10
