pc_id,pc_name,ac_id,ac_name,candidate name,candidate number
13,Kandhamal,89,Boudh,Uma Ballav Rath,1
13,Kandhamal,89,Boudh,Brajendra Kumar Ray,2
13,Kandhamal,89,Boudh,Ranendra Pratap Swain,3
13,Kandhamal,89,Boudh,Subas Kumar Sahoo,4
13,Kandhamal,89,Boudh,Biswajit Sahoo,5
13,Kandhamal,89,Boudh,Mahamad Mustak Hussain,6
13,Kandhamal,89,Boudh,Abhaya Kumar Barik,7
13,Kandhamal,89,Boudh,Abhaya Kumar Rout,8
13,Kandhamal,89,Boudh,Rashmi Ranjan Parida,9
13,Kandhamal,89,Boudh,Hrudananda Mohapatra,10
