pc_id,pc_name,ac_id,ac_name,candidate name,candidate number
9,Dhenkanal,61,Pallahara,Trilochan Naik,1
9,Dhenkanal,61,Pallahara,Pratap Ch. Pradhan,2
9,Dhenkanal,61,Pallahara,Biplab Kumar Jena,3
9,Dhenkanal,61,Pallahara,Rajanikant Singh,4
9,Dhenkanal,61,Pallahara,Anil Bhoi,5
9,Dhenkanal,61,Pallahara,Duryodhan Naik,6
9,Dhenkanal,61,Pallahara,Mandodari Roul,7
9,Dhenkanal,61,Pallahara,Sukanta Kumar Nath,8
9,Dhenkanal,61,Pallahara,Santosh Kumar Naik,9
9,Dhenkanal,61,Pallahara,Laxman Ku. Sahu,10
