pc_id,pc_name,ac_id,ac_name,candidate name,candidate number
18,Bhubaneswar,119,Khurda,Kulamani Naik (BSP),1
18,Bhubaneswar,119,Khurda,Nityananda Parida (CPI(Marxist)),2
18,Bhubaneswar,119,Khurda,Satyanarayan Pradhan (BJD),3
18,Bhubaneswar,119,Khurda,Subhashree Panda (INC),4
18,Bhubaneswar,119,Khurda,Surama Padhy(BJP),5
18,Bhubaneswar,119,Khurda,Debaraj Sahu (All India Forward Bloc),6
18,Bhubaneswar,119,Khurda,Renu bala Mohanty (Kaling Sena),7
18,Bhubaneswar,119,Khurda,Ranjit Pattanaik (IND),8
18,Bhubaneswar,119,Khurda,Rabindra Mahapatra (IND),9
18,Bhubaneswar,119,Khurda,Santosh Kumar Sahoo (IND),10
